loss	model	dataset	filtering	type	set
0.906673396	model_bal_0	CRC	10	training	codacore
0.906673396	model_bal_0	CRC	10	training	codacore
0.906673396	model_bal_0	CRC	10	training	codacore
0.906673396	model_bal_0	CRC	10	training	codacore
0.906673396	model_bal_0	CRC	10	training	codacore
0.906673396	model_bal_0	CRC	10	training	codacore
0.906673396	model_bal_0	CRC	10	training	codacore
0.906673396	model_bal_0	CRC	10	training	codacore
0.906673396	model_bal_0	CRC	10	training	codacore
0.906673396	model_bal_0	CRC	10	training	codacore
0.95994379	model_bal_1	CRC	10	training	codacore
0.95994379	model_bal_1	CRC	10	training	codacore
0.929488656	model_bal_1	CRC	10	training	codacore
0.917053015	model_bal_1	CRC	10	training	codacore
0.918964635	model_bal_1	CRC	10	training	codacore
0.929488656	model_bal_1	CRC	10	training	codacore
0.921682677	model_bal_1	CRC	10	training	codacore
0.929488656	model_bal_1	CRC	10	training	codacore
0.929488656	model_bal_1	CRC	10	training	codacore
0.929488656	model_bal_1	CRC	10	training	codacore
0.911281716	model_bal_0	CRC	50	training	codacore
0.911281716	model_bal_0	CRC	50	training	codacore
0.911281716	model_bal_0	CRC	50	training	codacore
0.911281716	model_bal_0	CRC	50	training	codacore
0.911281716	model_bal_0	CRC	50	training	codacore
0.911281716	model_bal_0	CRC	50	training	codacore
0.911281716	model_bal_0	CRC	50	training	codacore
0.911281716	model_bal_0	CRC	50	training	codacore
0.911281716	model_bal_0	CRC	50	training	codacore
0.911281716	model_bal_0	CRC	50	training	codacore
0.960940552	model_bal_1	CRC	50	training	codacore
0.930012528	model_bal_1	CRC	50	training	codacore
0.930012528	model_bal_1	CRC	50	training	codacore
0.930012528	model_bal_1	CRC	50	training	codacore
0.930012528	model_bal_1	CRC	50	training	codacore
0.930012528	model_bal_1	CRC	50	training	codacore
0.957733854	model_bal_1	CRC	50	training	codacore
0.930012528	model_bal_1	CRC	50	training	codacore
0.957733854	model_bal_1	CRC	50	training	codacore
0.930012528	model_bal_1	CRC	50	training	codacore
3.920085542	pred_bal_0_lr1	CRC	10	test	codacore
3.920085542	pred_bal_0_lr1	CRC	10	test	codacore
3.920085542	pred_bal_0_lr1	CRC	10	test	codacore
3.920085542	pred_bal_0_lr1	CRC	10	test	codacore
3.920085542	pred_bal_0_lr1	CRC	10	test	codacore
3.920085542	pred_bal_0_lr1	CRC	10	test	codacore
3.920085542	pred_bal_0_lr1	CRC	10	test	codacore
3.920085542	pred_bal_0_lr1	CRC	10	test	codacore
3.920085542	pred_bal_0_lr1	CRC	10	test	codacore
3.920085542	pred_bal_0_lr1	CRC	10	test	codacore
3.920085542	pred_bal_0	CRC	10	test	codacore
3.885245957	pred_bal_0	CRC	10	test	codacore
3.935957764	pred_bal_0	CRC	10	test	codacore
3.920085542	pred_bal_0	CRC	10	test	codacore
3.920085542	pred_bal_0	CRC	10	test	codacore
3.920355244	pred_bal_0	CRC	10	test	codacore
3.920085542	pred_bal_0	CRC	10	test	codacore
3.920085542	pred_bal_0	CRC	10	test	codacore
3.91981343	pred_bal_0	CRC	10	test	codacore
3.920085542	pred_bal_0	CRC	10	test	codacore
3.743561431	pred_bal_1_lr1	CRC	10	test	codacore
3.743561431	pred_bal_1_lr1	CRC	10	test	codacore
3.758071824	pred_bal_1_lr1	CRC	10	test	codacore
3.865906691	pred_bal_1_lr1	CRC	10	test	codacore
3.837606282	pred_bal_1_lr1	CRC	10	test	codacore
3.758071824	pred_bal_1_lr1	CRC	10	test	codacore
3.887066534	pred_bal_1_lr1	CRC	10	test	codacore
3.758071824	pred_bal_1_lr1	CRC	10	test	codacore
3.758071824	pred_bal_1_lr1	CRC	10	test	codacore
3.758071824	pred_bal_1_lr1	CRC	10	test	codacore
3.743561431	pred_bal_1	CRC	10	test	codacore
3.743561431	pred_bal_1	CRC	10	test	codacore
3.758071824	pred_bal_1	CRC	10	test	codacore
3.865906691	pred_bal_1	CRC	10	test	codacore
3.837606282	pred_bal_1	CRC	10	test	codacore
3.758071824	pred_bal_1	CRC	10	test	codacore
3.887066534	pred_bal_1	CRC	10	test	codacore
3.758071824	pred_bal_1	CRC	10	test	codacore
3.758071824	pred_bal_1	CRC	10	test	codacore
3.758071824	pred_bal_1	CRC	10	test	codacore
3.809340735	pred_bal_0_lr1	CRC	50	test	codacore
3.809340735	pred_bal_0_lr1	CRC	50	test	codacore
3.809340735	pred_bal_0_lr1	CRC	50	test	codacore
3.809340735	pred_bal_0_lr1	CRC	50	test	codacore
3.809340735	pred_bal_0_lr1	CRC	50	test	codacore
3.809340735	pred_bal_0_lr1	CRC	50	test	codacore
3.809340735	pred_bal_0_lr1	CRC	50	test	codacore
3.809340735	pred_bal_0_lr1	CRC	50	test	codacore
3.809340735	pred_bal_0_lr1	CRC	50	test	codacore
3.809340735	pred_bal_0_lr1	CRC	50	test	codacore
3.778948579	pred_bal_0	CRC	50	test	codacore
3.831046063	pred_bal_0	CRC	50	test	codacore
3.799989462	pred_bal_0	CRC	50	test	codacore
3.833440722	pred_bal_0	CRC	50	test	codacore
3.79046742	pred_bal_0	CRC	50	test	codacore
3.809340735	pred_bal_0	CRC	50	test	codacore
3.851697292	pred_bal_0	CRC	50	test	codacore
3.809340735	pred_bal_0	CRC	50	test	codacore
3.809340735	pred_bal_0	CRC	50	test	codacore
3.791743404	pred_bal_0	CRC	50	test	codacore
3.744484642	pred_bal_1_lr1	CRC	50	test	codacore
3.760648589	pred_bal_1_lr1	CRC	50	test	codacore
3.760648589	pred_bal_1_lr1	CRC	50	test	codacore
3.760648589	pred_bal_1_lr1	CRC	50	test	codacore
3.760648589	pred_bal_1_lr1	CRC	50	test	codacore
3.760648589	pred_bal_1_lr1	CRC	50	test	codacore
3.785485705	pred_bal_1_lr1	CRC	50	test	codacore
3.760648589	pred_bal_1_lr1	CRC	50	test	codacore
3.785485705	pred_bal_1_lr1	CRC	50	test	codacore
3.760648589	pred_bal_1_lr1	CRC	50	test	codacore
3.744484642	pred_bal_1	CRC	50	test	codacore
3.760648589	pred_bal_1	CRC	50	test	codacore
3.760648589	pred_bal_1	CRC	50	test	codacore
3.760648589	pred_bal_1	CRC	50	test	codacore
3.760648589	pred_bal_1	CRC	50	test	codacore
3.760648589	pred_bal_1	CRC	50	test	codacore
3.785485705	pred_bal_1	CRC	50	test	codacore
3.760648589	pred_bal_1	CRC	50	test	codacore
3.878615558	pred_bal_1	CRC	50	test	codacore
3.760648589	pred_bal_1	CRC	50	test	codacore
3.769038974	ALRo	CRC	10	training	glmnet
3.77211032	ALRo	CRC	10	training	glmnet
3.775465065	ALRo	CRC	10	training	glmnet
3.765246776	ALRo	CRC	10	training	glmnet
3.750554731	ALRo	CRC	10	training	glmnet
3.769143668	ALRo	CRC	10	training	glmnet
3.764181169	ALRo	CRC	10	training	glmnet
3.757752709	ALRo	CRC	10	training	glmnet
3.78714581	ALRo	CRC	10	training	glmnet
3.782451961	ALRo	CRC	10	training	glmnet
3.761648587	ALRr	CRC	10	training	glmnet
3.760033486	ALRr	CRC	10	training	glmnet
3.762052843	ALRr	CRC	10	training	glmnet
3.762441219	ALRr	CRC	10	training	glmnet
3.75944117	ALRr	CRC	10	training	glmnet
3.761444327	ALRr	CRC	10	training	glmnet
3.756610822	ALRr	CRC	10	training	glmnet
3.785318198	ALRr	CRC	10	training	glmnet
3.746953656	ALRr	CRC	10	training	glmnet
3.758270324	ALRr	CRC	10	training	glmnet
3.749752273	ALRw	CRC	10	training	glmnet
3.749018293	ALRw	CRC	10	training	glmnet
3.74598719	ALRw	CRC	10	training	glmnet
3.757028321	ALRw	CRC	10	training	glmnet
3.763648405	ALRw	CRC	10	training	glmnet
3.747366183	ALRw	CRC	10	training	glmnet
3.752196333	ALRw	CRC	10	training	glmnet
3.757872202	ALRw	CRC	10	training	glmnet
3.758316363	ALRw	CRC	10	training	glmnet
3.759665483	ALRw	CRC	10	training	glmnet
3.752271876	CLR	CRC	10	training	glmnet
3.791560632	CLR	CRC	10	training	glmnet
3.778927059	CLR	CRC	10	training	glmnet
3.76184109	CLR	CRC	10	training	glmnet
3.778079644	CLR	CRC	10	training	glmnet
3.78307386	CLR	CRC	10	training	glmnet
3.773402816	CLR	CRC	10	training	glmnet
3.780923529	CLR	CRC	10	training	glmnet
3.780230215	CLR	CRC	10	training	glmnet
3.771213972	CLR	CRC	10	training	glmnet
4.183947058	TSS	CRC	10	training	glmnet
4.073990359	TSS	CRC	10	training	glmnet
4.170782685	TSS	CRC	10	training	glmnet
4.104620381	TSS	CRC	10	training	glmnet
4.189377672	TSS	CRC	10	training	glmnet
4.151359498	TSS	CRC	10	training	glmnet
4.166521636	TSS	CRC	10	training	glmnet
4.152105655	TSS	CRC	10	training	glmnet
4.134423344	TSS	CRC	10	training	glmnet
4.203714205	TSS	CRC	10	training	glmnet
3.789309493	ALRo	CRC	50	training	glmnet
3.773597822	ALRo	CRC	50	training	glmnet
3.773743565	ALRo	CRC	50	training	glmnet
3.783436646	ALRo	CRC	50	training	glmnet
3.775075989	ALRo	CRC	50	training	glmnet
3.789001036	ALRo	CRC	50	training	glmnet
3.790292798	ALRo	CRC	50	training	glmnet
3.778529577	ALRo	CRC	50	training	glmnet
3.780342977	ALRo	CRC	50	training	glmnet
3.780475738	ALRo	CRC	50	training	glmnet
3.784421148	ALRr	CRC	50	training	glmnet
3.782770472	ALRr	CRC	50	training	glmnet
3.785216272	ALRr	CRC	50	training	glmnet
3.794717383	ALRr	CRC	50	training	glmnet
3.780928069	ALRr	CRC	50	training	glmnet
3.782649208	ALRr	CRC	50	training	glmnet
3.785483263	ALRr	CRC	50	training	glmnet
3.778451898	ALRr	CRC	50	training	glmnet
3.782978891	ALRr	CRC	50	training	glmnet
3.789614546	ALRr	CRC	50	training	glmnet
3.80767442	ALRw	CRC	50	training	glmnet
3.807582944	ALRw	CRC	50	training	glmnet
3.801333765	ALRw	CRC	50	training	glmnet
3.812256061	ALRw	CRC	50	training	glmnet
3.819371092	ALRw	CRC	50	training	glmnet
3.804808984	ALRw	CRC	50	training	glmnet
3.794536676	ALRw	CRC	50	training	glmnet
3.802489691	ALRw	CRC	50	training	glmnet
3.805667045	ALRw	CRC	50	training	glmnet
3.808277489	ALRw	CRC	50	training	glmnet
3.769950468	CLR	CRC	50	training	glmnet
3.768598943	CLR	CRC	50	training	glmnet
3.758505845	CLR	CRC	50	training	glmnet
3.771430985	CLR	CRC	50	training	glmnet
3.763178407	CLR	CRC	50	training	glmnet
3.769636697	CLR	CRC	50	training	glmnet
3.767031298	CLR	CRC	50	training	glmnet
3.769370864	CLR	CRC	50	training	glmnet
3.766078094	CLR	CRC	50	training	glmnet
3.779756014	CLR	CRC	50	training	glmnet
3.951984906	TSS	CRC	50	training	glmnet
3.932670926	TSS	CRC	50	training	glmnet
3.965284742	TSS	CRC	50	training	glmnet
3.935579965	TSS	CRC	50	training	glmnet
3.941028086	TSS	CRC	50	training	glmnet
3.9405645	TSS	CRC	50	training	glmnet
3.942210001	TSS	CRC	50	training	glmnet
3.947130311	TSS	CRC	50	training	glmnet
3.924846262	TSS	CRC	50	training	glmnet
3.927161856	TSS	CRC	50	training	glmnet
3.752178869	ALRo	CRC	10	test	glmnet
3.752616723	ALRo	CRC	10	test	glmnet
