loss	model	dataset	filtering	type	set
0.816124001	model_bal_0	CRC	10	training	imputation
0.816124001	model_bal_0	CRC	10	training	imputation
0.816124001	model_bal_0	CRC	10	training	imputation
0.816124001	model_bal_0	CRC	10	training	imputation
0.816124001	model_bal_0	CRC	10	training	imputation
0.816124001	model_bal_0	CRC	10	training	imputation
0.816124001	model_bal_0	CRC	10	training	imputation
0.816124001	model_bal_0	CRC	10	training	imputation
0.816124001	model_bal_0	CRC	10	training	imputation
0.812575551	model_bal_0	CRC	10	training	imputation
0.80877364	model_bal_1	CRC	10	training	imputation
0.799122636	model_bal_1	CRC	10	training	imputation
0.78264769	model_bal_1	CRC	10	training	imputation
0.80877364	model_bal_1	CRC	10	training	imputation
0.80877364	model_bal_1	CRC	10	training	imputation
0.799122636	model_bal_1	CRC	10	training	imputation
0.80877364	model_bal_1	CRC	10	training	imputation
0.812770521	model_bal_1	CRC	10	training	imputation
0.80877364	model_bal_1	CRC	10	training	imputation
0.799122636	model_bal_1	CRC	10	training	imputation
0.773347631	model_bal_0	CRC	50	training	imputation
0.773347631	model_bal_0	CRC	50	training	imputation
0.773347631	model_bal_0	CRC	50	training	imputation
0.794027094	pred_bal_0_lr1	CRC	10	test	imputation
0.794027094	pred_bal_0_lr1	CRC	10	test	imputation
0.794027094	pred_bal_0_lr1	CRC	10	test	imputation
0.794027094	pred_bal_0_lr1	CRC	10	test	imputation
0.794027094	pred_bal_0_lr1	CRC	10	test	imputation
0.794027094	pred_bal_0_lr1	CRC	10	test	imputation
0.794027094	pred_bal_0_lr1	CRC	10	test	imputation
0.794027094	pred_bal_0_lr1	CRC	10	test	imputation
0.794027094	pred_bal_0_lr1	CRC	10	test	imputation
0.798953202	pred_bal_0_lr1	CRC	10	test	imputation
0.805110837	pred_bal_0	CRC	10	test	imputation
0.792179803	pred_bal_0	CRC	10	test	imputation
0.791256158	pred_bal_0	CRC	10	test	imputation
0.791256158	pred_bal_0	CRC	10	test	imputation
0.806034483	pred_bal_0	CRC	10	test	imputation
0.798337438	pred_bal_0	CRC	10	test	imputation
0.804802956	pred_bal_0	CRC	10	test	imputation
0.792487685	pred_bal_0	CRC	10	test	imputation
0.789100985	pred_bal_0	CRC	10	test	imputation
0.799876847	pred_bal_0	CRC	10	test	imputation
0.768780788	pred_bal_1_lr1	CRC	10	test	imputation
0.786637931	pred_bal_1_lr1	CRC	10	test	imputation
0.772475369	pred_bal_1_lr1	CRC	10	test	imputation
0.768780788	pred_bal_1_lr1	CRC	10	test	imputation
0.768780788	pred_bal_1_lr1	CRC	10	test	imputation
0.786637931	pred_bal_1_lr1	CRC	10	test	imputation
0.768780788	pred_bal_1_lr1	CRC	10	test	imputation
0.789716749	pred_bal_1_lr1	CRC	10	test	imputation
