loss	type	model	filtering	set
0.843745358	training	ALRo	10	glmnet
0.84073636	training	ALRo	10	glmnet
0.842409208	training	ALRo	10	glmnet
0.843564792	training	ALRo	10	glmnet
0.842782146	training	ALRo	10	glmnet
0.844447215	training	ALRo	10	glmnet
0.842592082	training	ALRo	10	glmnet
0.843767158	training	ALRo	10	glmnet
0.84228331	training	ALRo	10	glmnet
0.84235682	training	ALRo	10	glmnet
0.813591616	test	ALRo	10	glmnet
0.813591616	test	ALRo	10	glmnet
0.813591616	test	ALRo	10	glmnet
0.813591616	test	ALRo	10	glmnet
0.813591616	test	ALRo	10	glmnet
0.813591616	test	ALRo	10	glmnet
0.813591616	test	ALRo	10	glmnet
0.813591616	test	ALRo	10	glmnet
0.813591616	test	ALRo	10	glmnet
0.813909178	test	ALRo	10	glmnet
0.848728394	training	CLR	10	glmnet
0.848794209	training	CLR	10	glmnet
0.848616587	training	CLR	10	glmnet
0.84789379	training	CLR	10	glmnet
0.849876092	training	CLR	10	glmnet
0.85075104	training	CLR	10	glmnet
0.848067156	training	CLR	10	glmnet
0.849728889	training	CLR	10	glmnet
0.847622002	training	CLR	10	glmnet
0.847253502	training	CLR	10	glmnet
0.81168625	test	CLR	10	glmnet
0.81168625	test	CLR	10	glmnet
0.81168625	test	CLR	10	glmnet
0.81168625	test	CLR	10	glmnet
0.81168625	test	CLR	10	glmnet
0.81168625	test	CLR	10	glmnet
0.81168625	test	CLR	10	glmnet
0.81168625	test	CLR	10	glmnet
0.81168625	test	CLR	10	glmnet
0.81168625	test	CLR	10	glmnet
0.763807604	training	TSS	10	glmnet
0.769681818	training	TSS	10	glmnet
0.768957769	training	TSS	10	glmnet
0.764801582	training	TSS	10	glmnet
0.767007013	training	TSS	10	glmnet
0.766771924	training	TSS	10	glmnet
0.766192685	training	TSS	10	glmnet
0.765653113	training	TSS	10	glmnet
0.763606117	training	TSS	10	glmnet
0.762100683	training	TSS	10	glmnet
0.791679898	test	TSS	10	glmnet
0.791679898	test	TSS	10	glmnet
0.79199746	test	TSS	10	glmnet
0.79199746	test	TSS	10	glmnet
0.79199746	test	TSS	10	glmnet
0.791679898	test	TSS	10	glmnet
0.791679898	test	TSS	10	glmnet
0.791679898	test	TSS	10	glmnet
0.791679898	test	TSS	10	glmnet
0.79199746	test	TSS	10	glmnet
0.799706903	training	ALRw	10	glmnet
0.800760145	training	ALRw	10	glmnet
0.802616979	training	ALRw	10	glmnet
0.800756683	training	ALRw	10	glmnet
0.80375089	training	ALRw	10	glmnet
0.80388894	training	ALRw	10	glmnet
0.800247059	training	ALRw	10	glmnet
0.802567058	training	ALRw	10	glmnet
0.798246288	training	ALRw	10	glmnet
0.800714705	training	ALRw	10	glmnet
0.737059384	test	ALRw	10	glmnet
0.737694506	test	ALRw	10	glmnet
0.736741823	test	ALRw	10	glmnet
0.737376945	test	ALRw	10	glmnet
0.737059384	test	ALRw	10	glmnet
0.737694506	test	ALRw	10	glmnet
0.736424262	test	ALRw	10	glmnet
0.737694506	test	ALRw	10	glmnet
0.736741823	test	ALRw	10	glmnet
0.736106701	test	ALRw	10	glmnet
0.832005008	training	ALRr	10	glmnet
0.831446005	training	ALRr	10	glmnet
0.83080831	training	ALRr	10	glmnet
0.833147236	training	ALRr	10	glmnet
0.83254381	training	ALRr	10	glmnet
0.831960255	training	ALRr	10	glmnet
0.832001831	training	ALRr	10	glmnet
0.834650174	training	ALRr	10	glmnet
0.829223395	training	ALRr	10	glmnet
0.829495781	training	ALRr	10	glmnet
0.82311845	test	ALRr	10	glmnet
0.823436011	test	ALRr	10	glmnet
0.82311845	test	ALRr	10	glmnet
0.823436011	test	ALRr	10	glmnet
0.82311845	test	ALRr	10	glmnet
0.82311845	test	ALRr	10	glmnet
0.82311845	test	ALRr	10	glmnet
0.823436011	test	ALRr	10	glmnet
0.823436011	test	ALRr	10	glmnet
0.82311845	test	ALRr	10	glmnet
0.731831432	training	TSS	50	glmnet
0.731593829	training	TSS	50	glmnet
0.730185542	training	TSS	50	glmnet
0.729900508	training	TSS	50	glmnet
0.732284772	training	TSS	50	glmnet
0.726613265	training	TSS	50	glmnet
0.725799652	training	TSS	50	glmnet
0.730779941	training	TSS	50	glmnet
0.729032648	training	TSS	50	glmnet
0.730684355	training	TSS	50	glmnet
0.736741823	test	TSS	50	glmnet
0.736741823	test	TSS	50	glmnet
0.736741823	test	TSS	50	glmnet
0.736741823	test	TSS	50	glmnet
0.736741823	test	TSS	50	glmnet
0.736741823	test	TSS	50	glmnet
0.736741823	test	TSS	50	glmnet
0.736741823	test	TSS	50	glmnet
0.736741823	test	TSS	50	glmnet
0.736741823	test	TSS	50	glmnet
0.776528546	training	CLR	50	glmnet
0.778102725	training	CLR	50	glmnet
0.779052771	training	CLR	50	glmnet
0.780429952	training	CLR	50	glmnet
0.782630098	training	CLR	50	glmnet
0.778315047	training	CLR	50	glmnet
0.779655528	training	CLR	50	glmnet
0.7778056	training	CLR	50	glmnet
0.777725792	training	CLR	50	glmnet
0.773554654	training	CLR	50	glmnet
0.709114004	test	CLR	50	glmnet
0.708796443	test	CLR	50	glmnet
0.708796443	test	CLR	50	glmnet
0.709114004	test	CLR	50	glmnet
0.708478882	test	CLR	50	glmnet
0.708796443	test	CLR	50	glmnet
0.708796443	test	CLR	50	glmnet
0.708796443	test	CLR	50	glmnet
0.708796443	test	CLR	50	glmnet
0.708796443	test	CLR	50	glmnet
0.774461526	training	ALRr	50	glmnet
0.775550645	training	ALRr	50	glmnet
0.784476359	training	ALRr	50	glmnet
0.772109439	training	ALRr	50	glmnet
0.776893804	training	ALRr	50	glmnet
0.776654758	training	ALRr	50	glmnet
0.774494735	training	ALRr	50	glmnet
0.773715247	training	ALRr	50	glmnet
0.773229081	training	ALRr	50	glmnet
0.772873929	training	ALRr	50	glmnet
0.715465227	test	ALRr	50	glmnet
0.717370594	test	ALRr	50	glmnet
0.71641791	test	ALRr	50	glmnet
0.717688155	test	ALRr	50	glmnet
0.718005716	test	ALRr	50	glmnet
0.71641791	test	ALRr	50	glmnet
0.717688155	test	ALRr	50	glmnet
0.715782788	test	ALRr	50	glmnet
0.717370594	test	ALRr	50	glmnet
0.716100349	test	ALRr	50	glmnet
0.767296036	training	ALRo	50	glmnet
0.768780502	training	ALRo	50	glmnet
0.777590428	training	ALRo	50	glmnet
0.764966464	training	ALRo	50	glmnet
0.769815094	training	ALRo	50	glmnet
0.771582308	training	ALRo	50	glmnet
0.769193573	training	ALRo	50	glmnet
0.76696681	training	ALRo	50	glmnet
0.767089171	training	ALRo	50	glmnet
0.766443529	training	ALRo	50	glmnet
0.714830105	test	ALRo	50	glmnet
0.714512544	test	ALRo	50	glmnet
0.714194983	test	ALRo	50	glmnet
0.679263258	test	ALRo	50	glmnet
0.715147666	test	ALRo	50	glmnet
0.714830105	test	ALRo	50	glmnet
0.715147666	test	ALRo	50	glmnet
0.715782788	test	ALRo	50	glmnet
0.715147666	test	ALRo	50	glmnet
0.713877421	test	ALRo	50	glmnet
0.733116844	training	ALRw	50	glmnet
0.732637279	training	ALRw	50	glmnet
0.734511045	training	ALRw	50	glmnet
0.738995132	training	ALRw	50	glmnet
0.739285898	training	ALRw	50	glmnet
0.733073805	training	ALRw	50	glmnet
0.731149151	training	ALRw	50	glmnet
0.73531337	training	ALRw	50	glmnet
0.733467071	training	ALRw	50	glmnet
0.734889814	training	ALRw	50	glmnet
0.743728168	test	ALRw	50	glmnet
0.744045729	test	ALRw	50	glmnet
0.744045729	test	ALRw	50	glmnet
0.743728168	test	ALRw	50	glmnet
0.744045729	test	ALRw	50	glmnet
0.744045729	test	ALRw	50	glmnet
0.744045729	test	ALRw	50	glmnet
0.744045729	test	ALRw	50	glmnet
0.744045729	test	ALRw	50	glmnet
0.744045729	test	ALRw	50	glmnet
0.816143498	training	model_bal_0	10	codacore
0.816143498	training	model_bal_0	10	codacore
0.816143498	training	model_bal_0	10	codacore
0.816143498	training	model_bal_0	10	codacore
0.816143498	training	model_bal_0	10	codacore
