"loss" "dataset" "filtering" "transformation" "type"
3.70753863982918 "CRC" "10" "ALRo" "training"
3.71034359580033 "CRC" "10" "ALRo" "training"
3.73352574820361 "CRC" "10" "ALRo" "training"
3.71547016594673 "CRC" "10" "ALRo" "training"
3.73964295166156 "CRC" "10" "ALRo" "training"
3.70158112248675 "CRC" "10" "ALRr" "training"
3.67528397834146 "CRC" "10" "ALRr" "training"
3.7024482084981 "CRC" "10" "ALRr" "training"
3.73339003092117 "CRC" "10" "ALRr" "training"
3.7343285417364 "CRC" "10" "ALRr" "training"
3.76506927410703 "CRC" "10" "ALRw" "training"
3.74594749369941 "CRC" "10" "ALRw" "training"
3.75761568702938 "CRC" "10" "ALRw" "training"
3.74236992430562 "CRC" "10" "ALRw" "training"
3.76439380557712 "CRC" "10" "ALRw" "training"
3.71610379572002 "CRC" "10" "CLR" "training"
3.70571115289525 "CRC" "10" "CLR" "training"
3.72748185063051 "CRC" "10" "CLR" "training"
3.73081060837559 "CRC" "10" "CLR" "training"
3.71241981972039 "CRC" "10" "CLR" "training"
3.86517595061916 "CRC" "10" "TSS" "training"
3.85325762739747 "CRC" "10" "TSS" "training"
3.89717910688366 "CRC" "10" "TSS" "training"
3.87964132591932 "CRC" "10" "TSS" "training"
3.88800827684291 "CRC" "10" "TSS" "training"
3.76989964965491 "CRC" "50" "ALRo" "training"
3.77365629192616 "CRC" "50" "ALRo" "training"
3.74310149949861 "CRC" "50" "ALRo" "training"
3.72973232285552 "CRC" "50" "ALRo" "training"
3.71619830510852 "CRC" "50" "ALRo" "training"
3.78087850326968 "CRC" "50" "ALRr" "training"
3.76327398942523 "CRC" "50" "ALRr" "training"
3.77127146322565 "CRC" "50" "ALRr" "training"
3.76507622000346 "CRC" "50" "ALRr" "training"
3.79581233735668 "CRC" "50" "ALRr" "training"
3.78861390086118 "CRC" "50" "ALRw" "training"
3.77350900512953 "CRC" "50" "ALRw" "training"
3.77437186436713 "CRC" "50" "ALRw" "training"
3.79845708385883 "CRC" "50" "ALRw" "training"
3.77010782800159 "CRC" "50" "ALRw" "training"
3.76577499704876 "CRC" "50" "CLR" "training"
3.76291606375661 "CRC" "50" "CLR" "training"
3.75330971364394 "CRC" "50" "CLR" "training"
3.75486359288395 "CRC" "50" "CLR" "training"
3.7511888659397 "CRC" "50" "CLR" "training"
3.89578713931413 "CRC" "50" "TSS" "training"
3.86753375415392 "CRC" "50" "TSS" "training"
3.88285813570855 "CRC" "50" "TSS" "training"
3.8703246200519 "CRC" "50" "TSS" "training"
3.86729983017721 "CRC" "50" "TSS" "training"
3.82733286508527 "CRC" "10" "ALRo" "test"
3.82733286508526 "CRC" "10" "ALRo" "test"
3.82733286508526 "CRC" "10" "ALRo" "test"
3.82733286508526 "CRC" "10" "ALRo" "test"
3.82733286508526 "CRC" "10" "ALRo" "test"
3.82081146984176 "CRC" "10" "ALRr" "test"
3.82081146984176 "CRC" "10" "ALRr" "test"
3.82081146984176 "CRC" "10" "ALRr" "test"
3.82081146984176 "CRC" "10" "ALRr" "test"
3.82081146984176 "CRC" "10" "ALRr" "test"
3.79509903059046 "CRC" "10" "ALRw" "test"
3.79509903059062 "CRC" "10" "ALRw" "test"
3.79509903059062 "CRC" "10" "ALRw" "test"
3.79509903059079 "CRC" "10" "ALRw" "test"
3.79509903059071 "CRC" "10" "ALRw" "test"
3.73191185107179 "CRC" "10" "CLR" "test"
3.73191185107179 "CRC" "10" "CLR" "test"
3.73191185107179 "CRC" "10" "CLR" "test"
3.73191185107179 "CRC" "10" "CLR" "test"
3.73191185107179 "CRC" "10" "CLR" "test"
3.81123938396961 "CRC" "10" "TSS" "test"
3.81123938396961 "CRC" "10" "TSS" "test"
3.81123938396961 "CRC" "10" "TSS" "test"
3.81123938396961 "CRC" "10" "TSS" "test"
3.81123938396961 "CRC" "10" "TSS" "test"
3.75396324059891 "CRC" "50" "ALRo" "test"
3.75396324059891 "CRC" "50" "ALRo" "test"
3.75396324059891 "CRC" "50" "ALRo" "test"
3.90301644215084 "CRC" "50" "ALRo" "test"
3.75396324059891 "CRC" "50" "ALRo" "test"
3.84472437667982 "CRC" "50" "ALRr" "test"
3.85813998735867 "CRC" "50" "ALRr" "test"
3.84472437667982 "CRC" "50" "ALRr" "test"
3.85813998735867 "CRC" "50" "ALRr" "test"
3.85813998735867 "CRC" "50" "ALRr" "test"
3.79210260768482 "CRC" "50" "ALRw" "test"
3.79244660227622 "CRC" "50" "ALRw" "test"
3.79210260768482 "CRC" "50" "ALRw" "test"
3.79210260768472 "CRC" "50" "ALRw" "test"
3.79244660227626 "CRC" "50" "ALRw" "test"
3.69192272735147 "CRC" "50" "CLR" "test"
3.88151124437791 "CRC" "50" "CLR" "test"
3.88151124437791 "CRC" "50" "CLR" "test"
3.69192272735147 "CRC" "50" "CLR" "test"
3.88151124437791 "CRC" "50" "CLR" "test"
3.80043555746305 "CRC" "50" "TSS" "test"
3.80043555746305 "CRC" "50" "TSS" "test"
3.80043555746305 "CRC" "50" "TSS" "test"
3.80043555746305 "CRC" "50" "TSS" "test"
3.80043555746305 "CRC" "50" "TSS" "test"
