"loss" "dataset" "filtering" "transformation" "type"
3.76903897388381 "CRC" "10" "ALRo" "training"
3.77211032038348 "CRC" "10" "ALRo" "training"
3.77546506493724 "CRC" "10" "ALRo" "training"
3.76524677638519 "CRC" "10" "ALRo" "training"
3.75055473055369 "CRC" "10" "ALRo" "training"
3.76914366750767 "CRC" "10" "ALRo" "training"
3.7641811687419 "CRC" "10" "ALRo" "training"
3.75775270868392 "CRC" "10" "ALRo" "training"
3.78714580954961 "CRC" "10" "ALRo" "training"
3.78245196118494 "CRC" "10" "ALRo" "training"
3.76164858745385 "CRC" "10" "ALRr" "training"
3.76003348646191 "CRC" "10" "ALRr" "training"
3.76205284300934 "CRC" "10" "ALRr" "training"
3.76244121910761 "CRC" "10" "ALRr" "training"
3.7594411697308 "CRC" "10" "ALRr" "training"
3.76144432705371 "CRC" "10" "ALRr" "training"
3.75661082202025 "CRC" "10" "ALRr" "training"
3.78531819761888 "CRC" "10" "ALRr" "training"
3.74695365617214 "CRC" "10" "ALRr" "training"
3.7582703236564 "CRC" "10" "ALRr" "training"
3.74975227345385 "CRC" "10" "ALRw" "training"
3.74901829262393 "CRC" "10" "ALRw" "training"
3.74598718970676 "CRC" "10" "ALRw" "training"
3.75702832062523 "CRC" "10" "ALRw" "training"
3.76364840508702 "CRC" "10" "ALRw" "training"
3.74736618301173 "CRC" "10" "ALRw" "training"
3.75219633339852 "CRC" "10" "ALRw" "training"
3.75787220203968 "CRC" "10" "ALRw" "training"
3.75831636271976 "CRC" "10" "ALRw" "training"
3.75966548337923 "CRC" "10" "ALRw" "training"
3.75227187645042 "CRC" "10" "CLR" "training"
3.79156063218902 "CRC" "10" "CLR" "training"
3.77892705882804 "CRC" "10" "CLR" "training"
3.76184109038583 "CRC" "10" "CLR" "training"
3.77807964441204 "CRC" "10" "CLR" "training"
3.7830738597041 "CRC" "10" "CLR" "training"
3.77340281610653 "CRC" "10" "CLR" "training"
3.78092352861844 "CRC" "10" "CLR" "training"
3.78023021531424 "CRC" "10" "CLR" "training"
3.77121397175232 "CRC" "10" "CLR" "training"
4.18394705785417 "CRC" "10" "TSS" "training"
4.0739903591236 "CRC" "10" "TSS" "training"
4.17078268512728 "CRC" "10" "TSS" "training"
4.1046203813478 "CRC" "10" "TSS" "training"
4.18937767197761 "CRC" "10" "TSS" "training"
4.15135949755313 "CRC" "10" "TSS" "training"
4.16652163634522 "CRC" "10" "TSS" "training"
4.15210565504377 "CRC" "10" "TSS" "training"
4.13442334390781 "CRC" "10" "TSS" "training"
4.20371420452535 "CRC" "10" "TSS" "training"
3.78930949348517 "CRC" "50" "ALRo" "training"
3.77359782192897 "CRC" "50" "ALRo" "training"
3.77374356475487 "CRC" "50" "ALRo" "training"
3.78343664613659 "CRC" "50" "ALRo" "training"
3.77507598937608 "CRC" "50" "ALRo" "training"
3.78900103603479 "CRC" "50" "ALRo" "training"
3.79029279771746 "CRC" "50" "ALRo" "training"
3.77852957672344 "CRC" "50" "ALRo" "training"
3.78034297665256 "CRC" "50" "ALRo" "training"
3.78047573843837 "CRC" "50" "ALRo" "training"
3.78442114777475 "CRC" "50" "ALRr" "training"
3.78277047151318 "CRC" "50" "ALRr" "training"
3.78521627158528 "CRC" "50" "ALRr" "training"
3.79471738346031 "CRC" "50" "ALRr" "training"
3.78092806916111 "CRC" "50" "ALRr" "training"
3.78264920788842 "CRC" "50" "ALRr" "training"
3.78548326316693 "CRC" "50" "ALRr" "training"
3.77845189823504 "CRC" "50" "ALRr" "training"
3.78297889147551 "CRC" "50" "ALRr" "training"
3.78961454584352 "CRC" "50" "ALRr" "training"
3.8076744198337 "CRC" "50" "ALRw" "training"
3.80758294380816 "CRC" "50" "ALRw" "training"
3.80133376498975 "CRC" "50" "ALRw" "training"
3.81225606113968 "CRC" "50" "ALRw" "training"
3.81937109221441 "CRC" "50" "ALRw" "training"
3.80480898384916 "CRC" "50" "ALRw" "training"
3.79453667572443 "CRC" "50" "ALRw" "training"
3.80248969053692 "CRC" "50" "ALRw" "training"
3.80566704490846 "CRC" "50" "ALRw" "training"
3.80827748877423 "CRC" "50" "ALRw" "training"
3.76995046807302 "CRC" "50" "CLR" "training"
3.76859894253614 "CRC" "50" "CLR" "training"
3.75850584513793 "CRC" "50" "CLR" "training"
3.77143098526542 "CRC" "50" "CLR" "training"
3.76317840730959 "CRC" "50" "CLR" "training"
3.76963669698857 "CRC" "50" "CLR" "training"
3.76703129786892 "CRC" "50" "CLR" "training"
3.76937086398978 "CRC" "50" "CLR" "training"
3.76607809402968 "CRC" "50" "CLR" "training"
3.77975601380598 "CRC" "50" "CLR" "training"
3.95198490624163 "CRC" "50" "TSS" "training"
3.9326709263343 "CRC" "50" "TSS" "training"
3.96528474162164 "CRC" "50" "TSS" "training"
3.93557996459551 "CRC" "50" "TSS" "training"
3.94102808583592 "CRC" "50" "TSS" "training"
3.94056450012516 "CRC" "50" "TSS" "training"
3.94221000064483 "CRC" "50" "TSS" "training"
3.94713031135632 "CRC" "50" "TSS" "training"
3.92484626245609 "CRC" "50" "TSS" "training"
3.92716185638865 "CRC" "50" "TSS" "training"
3.75217886855591 "CRC" "10" "ALRo" "test"
3.75261672292986 "CRC" "10" "ALRo" "test"
3.75210046059688 "CRC" "10" "ALRo" "test"
3.75234655096374 "CRC" "10" "ALRo" "test"
3.75228891896353 "CRC" "10" "ALRo" "test"
3.75157579740152 "CRC" "10" "ALRo" "test"
3.75177307377877 "CRC" "10" "ALRo" "test"
3.75226570288266 "CRC" "10" "ALRo" "test"
3.75156720160807 "CRC" "10" "ALRo" "test"
3.75193265258881 "CRC" "10" "ALRo" "test"
3.72851254050374 "CRC" "10" "ALRr" "test"
