"loss" "type" "transformation"
0.477947512811943 "training" "TSS"
0.480586494540998 "training" "TSS"
0.468731130236185 "training" "TSS"
0.475816065062389 "training" "TSS"
0.487403492647059 "training" "TSS"
0.458410274621212 "training" "TSS"
0.465225880124777 "training" "TSS"
0.47705924131016 "training" "TSS"
0.471156486742424 "training" "TSS"
0.481256823752228 "training" "TSS"
0.59581881533101 "test" "TSS"
0.59581881533101 "test" "TSS"
0.59581881533101 "test" "TSS"
0.59581881533101 "test" "TSS"
0.59581881533101 "test" "TSS"
0.59581881533101 "test" "TSS"
0.59581881533101 "test" "TSS"
0.574912891986063 "test" "TSS"
0.59581881533101 "test" "TSS"
0.59581881533101 "test" "TSS"
