loss	model	dataset	filtering	type	set
0.969310452	model_bal_0	EstMB	90	training	codacore
0.969310452	model_bal_0	EstMB	90	training	codacore
0.969305068	model_bal_0	EstMB	90	training	codacore
0.969305068	model_bal_0	EstMB	90	training	codacore
0.969310452	model_bal_0	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
5.329524582	pred_bal_0_lr1	EstMB	90	test	codacore
5.329524582	pred_bal_0_lr1	EstMB	90	test	codacore
5.322800989	pred_bal_0_lr1	EstMB	90	test	codacore
5.322800989	pred_bal_0_lr1	EstMB	90	test	codacore
5.329524582	pred_bal_0_lr1	EstMB	90	test	codacore
5.329524582	pred_bal_0	EstMB	90	test	codacore
5.32896424	pred_bal_0	EstMB	90	test	codacore
5.322047491	pred_bal_0	EstMB	90	test	codacore
5.322800989	pred_bal_0	EstMB	90	test	codacore
5.331689087	pred_bal_0	EstMB	90	test	codacore
5.390235755	pred_bal_1_lr1	EstMB	90	test	codacore
5.390235755	pred_bal_1_lr1	EstMB	90	test	codacore
5.390235755	pred_bal_1_lr1	EstMB	90	test	codacore
5.390235755	pred_bal_1_lr1	EstMB	90	test	codacore
5.390235755	pred_bal_1_lr1	EstMB	90	test	codacore
5.390235755	pred_bal_1	EstMB	90	test	codacore
5.390235755	pred_bal_1	EstMB	90	test	codacore
5.390235755	pred_bal_1	EstMB	90	test	codacore
5.390235755	pred_bal_1	EstMB	90	test	codacore
5.390235755	pred_bal_1	EstMB	90	test	codacore
0.969310452	model_bal_0	EstMB	90	training	codacore
0.969310452	model_bal_0	EstMB	90	training	codacore
0.969305068	model_bal_0	EstMB	90	training	codacore
0.969305068	model_bal_0	EstMB	90	training	codacore
0.969310452	model_bal_0	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
5.329524582	pred_bal_0_lr1	EstMB	90	test	codacore
5.329524582	pred_bal_0_lr1	EstMB	90	test	codacore
5.322800989	pred_bal_0_lr1	EstMB	90	test	codacore
5.322800989	pred_bal_0_lr1	EstMB	90	test	codacore
5.329524582	pred_bal_0_lr1	EstMB	90	test	codacore
5.329524582	pred_bal_0	EstMB	90	test	codacore
5.333473833	pred_bal_0	EstMB	90	test	codacore
5.325199083	pred_bal_0	EstMB	90	test	codacore
5.322800989	pred_bal_0	EstMB	90	test	codacore
5.331671531	pred_bal_0	EstMB	90	test	codacore
5.390235755	pred_bal_1_lr1	EstMB	90	test	codacore
5.390235755	pred_bal_1_lr1	EstMB	90	test	codacore
5.390235755	pred_bal_1_lr1	EstMB	90	test	codacore
5.390235755	pred_bal_1_lr1	EstMB	90	test	codacore
5.390235755	pred_bal_1_lr1	EstMB	90	test	codacore
5.390235755	pred_bal_1	EstMB	90	test	codacore
5.390235755	pred_bal_1	EstMB	90	test	codacore
5.390235755	pred_bal_1	EstMB	90	test	codacore
5.390235755	pred_bal_1	EstMB	90	test	codacore
5.390235755	pred_bal_1	EstMB	90	test	codacore
0.969310452	model_bal_0	EstMB	90	training	codacore
0.969310452	model_bal_0	EstMB	90	training	codacore
0.969305068	model_bal_0	EstMB	90	training	codacore
0.969305068	model_bal_0	EstMB	90	training	codacore
0.969310452	model_bal_0	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
0.973116694	model_bal_1	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
5.329524582	pred_bal_0_lr1	EstMB	90	test	codacore
5.329524582	pred_bal_0_lr1	EstMB	90	test	codacore
5.322800989	pred_bal_0_lr1	EstMB	90	test	codacore
5.322800989	pred_bal_0_lr1	EstMB	90	test	codacore
5.329524582	pred_bal_0_lr1	EstMB	90	test	codacore
5.329524582	pred_bal_0	EstMB	90	test	codacore
5.329524582	pred_bal_0	EstMB	90	test	codacore
5.32842224	pred_bal_0	EstMB	90	test	codacore
5.322800989	pred_bal_0	EstMB	90	test	codacore
5.331763224	pred_bal_0	EstMB	90	test	codacore
5.390235755	pred_bal_1_lr1	EstMB	90	test	codacore
5.406574209	pred_bal_1_lr1	EstMB	90	test	codacore
5.390235755	pred_bal_1_lr1	EstMB	90	test	codacore
5.390235755	pred_bal_1_lr1	EstMB	90	test	codacore
5.390235755	pred_bal_1_lr1	EstMB	90	test	codacore
5.390235755	pred_bal_1	EstMB	90	test	codacore
5.406574209	pred_bal_1	EstMB	90	test	codacore
5.390235755	pred_bal_1	EstMB	90	test	codacore
5.390235755	pred_bal_1	EstMB	90	test	codacore
5.390235755	pred_bal_1	EstMB	90	test	codacore
0.969310452	model_bal_0	EstMB	90	training	codacore
0.969310452	model_bal_0	EstMB	90	training	codacore
0.969305068	model_bal_0	EstMB	90	training	codacore
0.969305068	model_bal_0	EstMB	90	training	codacore
0.969310452	model_bal_0	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
0.973116694	model_bal_1	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
0.976239853	model_bal_1	EstMB	90	training	codacore
