loss	model	dataset	filtering	type	set
0.812602401	model_bal_0	EstMB	90	training	codacore
0.812492358	model_bal_0	EstMB	90	training	codacore
0.812492358	model_bal_0	EstMB	90	training	codacore
0.812492358	model_bal_0	EstMB	90	training	codacore
0.812602401	model_bal_0	EstMB	90	training	codacore
0.806146529	model_bal_1	EstMB	90	training	codacore
0.806146529	model_bal_1	EstMB	90	training	codacore
0.806146529	model_bal_1	EstMB	90	training	codacore
0.806146529	model_bal_1	EstMB	90	training	codacore
0.806146529	model_bal_1	EstMB	90	training	codacore
0.731854839	pred_bal_0_lr1	EstMB	90	test	codacore
0.715725806	pred_bal_0_lr1	EstMB	90	test	codacore
0.715725806	pred_bal_0_lr1	EstMB	90	test	codacore
0.715725806	pred_bal_0_lr1	EstMB	90	test	codacore
0.731854839	pred_bal_0_lr1	EstMB	90	test	codacore
0.729771505	pred_bal_0	EstMB	90	test	codacore
0.713776882	pred_bal_0	EstMB	90	test	codacore
0.713373656	pred_bal_0	EstMB	90	test	codacore
0.711424731	pred_bal_0	EstMB	90	test	codacore
0.726612903	pred_bal_0	EstMB	90	test	codacore
0.659475806	pred_bal_1_lr1	EstMB	90	test	codacore
0.659475806	pred_bal_1_lr1	EstMB	90	test	codacore
0.659475806	pred_bal_1_lr1	EstMB	90	test	codacore
0.659475806	pred_bal_1_lr1	EstMB	90	test	codacore
0.659475806	pred_bal_1_lr1	EstMB	90	test	codacore
0.659475806	pred_bal_1	EstMB	90	test	codacore
0.676344086	pred_bal_1	EstMB	90	test	codacore
0.659475806	pred_bal_1	EstMB	90	test	codacore
0.659475806	pred_bal_1	EstMB	90	test	codacore
0.659475806	pred_bal_1	EstMB	90	test	codacore
0.812602401	model_bal_0	EstMB	90	training	codacore
0.812492358	model_bal_0	EstMB	90	training	codacore
0.812602401	model_bal_0	EstMB	90	training	codacore
0.812492358	model_bal_0	EstMB	90	training	codacore
0.812602401	model_bal_0	EstMB	90	training	codacore
0.806146529	model_bal_1	EstMB	90	training	codacore
0.806146529	model_bal_1	EstMB	90	training	codacore
0.806146529	model_bal_1	EstMB	90	training	codacore
