loss	type	model	dataset	filtering	procedure	set
0.790912208	training	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.785855295	training	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.786471295	training	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.79249238	training	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.785150809	training	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.790636958	training	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.790449411	training	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.788331545	training	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.78952619	training	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.791272516	training	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.75170068	test	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.75170068	test	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.75170068	test	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.75180072	test	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.75170068	test	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.75180072	test	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.75160064	test	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.75180072	test	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.75170068	test	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.75170068	test	CLR	E11	90	split-imputation_split-transformation	non_leaky
0.680452762	training	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.683770045	training	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.682152144	training	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.679630501	training	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.682158614	training	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.681605174	training	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.683684162	training	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.682452793	training	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.689437401	training	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.685697822	training	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.763805522	test	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.763705482	test	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.763705482	test	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.763805522	test	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.763705482	test	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.763705482	test	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.763705482	test	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.763805522	test	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.763805522	test	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.763705482	test	TSS	E11	90	split-imputation_split-transformation	non_leaky
0.700622005	training	ALRr	E11	90	split-imputation_split-transformation	non_leaky
0.701567152	training	ALRr	E11	90	split-imputation_split-transformation	non_leaky
0.698760614	training	ALRr	E11	90	split-imputation_split-transformation	non_leaky
0.700256655	training	ALRr	E11	90	split-imputation_split-transformation	non_leaky
0.705806262	training	ALRr	E11	90	split-imputation_split-transformation	non_leaky
0.764505802	test	ALRr	E11	90	split-imputation_split-transformation	non_leaky
0.764505802	test	ALRr	E11	90	split-imputation_split-transformation	non_leaky
0.764505802	test	ALRr	E11	90	split-imputation_split-transformation	non_leaky
0.764505802	test	ALRr	E11	90	split-imputation_split-transformation	non_leaky
0.764505802	test	ALRr	E11	90	split-imputation_split-transformation	non_leaky
0.801382905	training	CLR	E11	90	imputation	leaky
0.797441893	training	CLR	E11	90	imputation	leaky
0.805948983	training	CLR	E11	90	imputation	leaky
0.802667586	training	CLR	E11	90	imputation	leaky
0.805792618	training	CLR	E11	90	imputation	leaky
0.767876344	test	CLR	E11	90	imputation	leaky
0.767876344	test	CLR	E11	90	imputation	leaky
0.767943548	test	CLR	E11	90	imputation	leaky
0.767943548	test	CLR	E11	90	imputation	leaky
0.767876344	test	CLR	E11	90	imputation	leaky
0.705605833	training	TSS	E11	90	imputation	leaky
0.70071504	training	TSS	E11	90	imputation	leaky
0.708877136	training	TSS	E11	90	imputation	leaky
0.712636909	training	TSS	E11	90	imputation	leaky
0.710547498	training	TSS	E11	90	imputation	leaky
0.721438172	test	TSS	E11	90	imputation	leaky
0.721572581	test	TSS	E11	90	imputation	leaky
0.721505376	test	TSS	E11	90	imputation	leaky
0.721438172	test	TSS	E11	90	imputation	leaky
0.721505376	test	TSS	E11	90	imputation	leaky
0.797300983	training	ALRr	E11	90	imputation	leaky
0.795476253	training	ALRr	E11	90	imputation	leaky
0.804641971	training	ALRr	E11	90	imputation	leaky
0.800802147	training	ALRr	E11	90	imputation	leaky
0.802956508	training	ALRr	E11	90	imputation	leaky
0.751612903	test	ALRr	E11	90	imputation	leaky
0.751545699	test	ALRr	E11	90	imputation	leaky
0.752150538	test	ALRr	E11	90	imputation	leaky
0.751680108	test	ALRr	E11	90	imputation	leaky
0.751814516	test	ALRr	E11	90	imputation	leaky
0.70154522	training	ALRr	I11	90	imputation	leaky
0.697951871	training	ALRr	I11	90	imputation	leaky
0.700743431	training	ALRr	I11	90	imputation	leaky
0.697132853	training	ALRr	I11	90	imputation	leaky
0.697573053	training	ALRr	I11	90	imputation	leaky
0.695002813	test	ALRr	I11	90	imputation	leaky
0.695079536	test	ALRr	I11	90	imputation	leaky
0.694516905	test	ALRr	I11	90	imputation	leaky
0.694951665	test	ALRr	I11	90	imputation	leaky
0.694977239	test	ALRr	I11	90	imputation	leaky
0.709144943	training	CLR	I11	90	imputation	leaky
0.705369165	training	CLR	I11	90	imputation	leaky
0.709469312	training	CLR	I11	90	imputation	leaky
0.707464681	training	CLR	I11	90	imputation	leaky
0.704830218	training	CLR	I11	90	imputation	leaky
0.688967316	test	CLR	I11	90	imputation	leaky
0.689069613	test	CLR	I11	90	imputation	leaky
0.689427651	test	CLR	I11	90	imputation	leaky
0.68886502	test	CLR	I11	90	imputation	leaky
0.688941742	test	CLR	I11	90	imputation	leaky
0.661635193	training	TSS	I11	90	imputation	leaky
0.666569866	training	TSS	I11	90	imputation	leaky
0.660209164	training	TSS	I11	90	imputation	leaky
0.664422187	training	TSS	I11	90	imputation	leaky
0.655034355	training	TSS	I11	90	imputation	leaky
0.623676538	test	TSS	I11	90	imputation	leaky
0.62362539	test	TSS	I11	90	imputation	leaky
0.623523093	test	TSS	I11	90	imputation	leaky
0.623599816	test	TSS	I11	90	imputation	leaky
0.62362539	test	TSS	I11	90	imputation	leaky
0.651050066	training	ALRr	I11	90	split-imputation	non_leaky
0.650591738	training	ALRr	I11	90	split-imputation	non_leaky
0.650406525	training	ALRr	I11	90	split-imputation	non_leaky
0.646062248	training	ALRr	I11	90	split-imputation	non_leaky
0.647800494	training	ALRr	I11	90	split-imputation	non_leaky
0.636580257	test	ALRr	I11	90	split-imputation	non_leaky
0.636606441	test	ALRr	I11	90	split-imputation	non_leaky
0.636632626	test	ALRr	I11	90	split-imputation	non_leaky
0.636580257	test	ALRr	I11	90	split-imputation	non_leaky
0.636606441	test	ALRr	I11	90	split-imputation	non_leaky
0.64590286	training	TSS	I11	90	split-imputation	non_leaky
0.644427877	training	TSS	I11	90	split-imputation	non_leaky
0.644194977	training	TSS	I11	90	split-imputation	non_leaky
0.642544538	training	TSS	I11	90	split-imputation	non_leaky
0.644068542	training	TSS	I11	90	split-imputation	non_leaky
0.626106311	test	TSS	I11	90	split-imputation	non_leaky
0.626289605	test	TSS	I11	90	split-imputation	non_leaky
0.62615868	test	TSS	I11	90	split-imputation	non_leaky
0.626184865	test	TSS	I11	90	split-imputation	non_leaky
0.626053941	test	TSS	I11	90	split-imputation	non_leaky
0.705043236	training	CLR	I11	90	split-imputation	non_leaky
0.709167641	training	CLR	I11	90	split-imputation	non_leaky
0.703794074	training	CLR	I11	90	split-imputation	non_leaky
0.702055544	training	CLR	I11	90	split-imputation	non_leaky
0.701877354	training	CLR	I11	90	split-imputation	non_leaky
0.700785546	test	CLR	I11	90	split-imputation	non_leaky
0.701152134	test	CLR	I11	90	split-imputation	non_leaky
0.701178319	test	CLR	I11	90	split-imputation	non_leaky
0.701283058	test	CLR	I11	90	split-imputation	non_leaky
0.701178319	test	CLR	I11	90	split-imputation	non_leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
