loss	model	dataset	filtering	type	set
0.812492358	model_bal_0	E11	90	training	codacore
0.812492358	model_bal_0	E11	90	training	codacore
0.812492358	model_bal_0	E11	90	training	codacore
0.812492358	model_bal_0	E11	90	training	codacore
0.812492358	model_bal_0	E11	90	training	codacore
0.812602401	model_bal_0	E11	90	training	codacore
0.812492358	model_bal_0	E11	90	training	codacore
0.812492358	model_bal_0	E11	90	training	codacore
0.812492358	model_bal_0	E11	90	training	codacore
0.812492358	model_bal_0	E11	90	training	codacore
0.806146529	model_bal_1	E11	90	training	codacore
0.806146529	model_bal_1	E11	90	training	codacore
0.806146529	model_bal_1	E11	90	training	codacore
0.806146529	model_bal_1	E11	90	training	codacore
0.812602401	model_bal_1	E11	90	training	codacore
0.806146529	model_bal_1	E11	90	training	codacore
0.806146529	model_bal_1	E11	90	training	codacore
0.806146529	model_bal_1	E11	90	training	codacore
0.806146529	model_bal_1	E11	90	training	codacore
0.806146529	model_bal_1	E11	90	training	codacore
0.715725806	pred_bal_0_lr1	E11	90	test	codacore
0.715725806	pred_bal_0_lr1	E11	90	test	codacore
0.715725806	pred_bal_0_lr1	E11	90	test	codacore
0.715725806	pred_bal_0_lr1	E11	90	test	codacore
0.715725806	pred_bal_0_lr1	E11	90	test	codacore
0.731854839	pred_bal_0_lr1	E11	90	test	codacore
0.715725806	pred_bal_0_lr1	E11	90	test	codacore
0.715725806	pred_bal_0_lr1	E11	90	test	codacore
0.715725806	pred_bal_0_lr1	E11	90	test	codacore
0.715725806	pred_bal_0_lr1	E11	90	test	codacore
0.709408602	pred_bal_0	E11	90	test	codacore
0.712231183	pred_bal_0	E11	90	test	codacore
0.714247312	pred_bal_0	E11	90	test	codacore
0.717137097	pred_bal_0	E11	90	test	codacore
0.710349462	pred_bal_0	E11	90	test	codacore
0.732795699	pred_bal_0	E11	90	test	codacore
0.705645161	pred_bal_0	E11	90	test	codacore
0.712567204	pred_bal_0	E11	90	test	codacore
0.706115591	pred_bal_0	E11	90	test	codacore
0.711290323	pred_bal_0	E11	90	test	codacore
0.659475806	pred_bal_1_lr1	E11	90	test	codacore
0.659475806	pred_bal_1_lr1	E11	90	test	codacore
0.659475806	pred_bal_1_lr1	E11	90	test	codacore
0.659475806	pred_bal_1_lr1	E11	90	test	codacore
0.731854839	pred_bal_1_lr1	E11	90	test	codacore
0.659475806	pred_bal_1_lr1	E11	90	test	codacore
0.659475806	pred_bal_1_lr1	E11	90	test	codacore
0.659475806	pred_bal_1_lr1	E11	90	test	codacore
0.659475806	pred_bal_1_lr1	E11	90	test	codacore
0.659475806	pred_bal_1_lr1	E11	90	test	codacore
0.659475806	pred_bal_1	E11	90	test	codacore
0.659475806	pred_bal_1	E11	90	test	codacore
0.659475806	pred_bal_1	E11	90	test	codacore
0.659475806	pred_bal_1	E11	90	test	codacore
0.731854839	pred_bal_1	E11	90	test	codacore
0.659475806	pred_bal_1	E11	90	test	codacore
0.659475806	pred_bal_1	E11	90	test	codacore
0.670766129	pred_bal_1	E11	90	test	codacore
0.659475806	pred_bal_1	E11	90	test	codacore
