"loss" "type" "transformation"
0.680452762292715 "training" "TSS"
0.683770044798305 "training" "TSS"
0.682152144139299 "training" "TSS"
0.679630501422128 "training" "TSS"
0.682158614434062 "training" "TSS"
0.681605174251959 "training" "TSS"
0.683684162032169 "training" "TSS"
0.682452792785247 "training" "TSS"
0.68943740103704 "training" "TSS"
0.685697821584157 "training" "TSS"
0.763805522208884 "test" "TSS"
0.763705482192877 "test" "TSS"
0.763705482192877 "test" "TSS"
0.763805522208884 "test" "TSS"
0.763705482192877 "test" "TSS"
0.763705482192877 "test" "TSS"
0.763705482192877 "test" "TSS"
0.763805522208884 "test" "TSS"
0.763805522208884 "test" "TSS"
0.763705482192877 "test" "TSS"
