loss	model	dataset	filtering	type	set
5.289062498	ALRo	PCOS	10	training	glmnet
5.385754547	ALRo	PCOS	10	training	glmnet
5.350864363	ALRo	PCOS	10	training	glmnet
5.315421835	ALRo	PCOS	10	training	glmnet
5.287059443	ALRo	PCOS	10	training	glmnet
5.393248612	ALRo	PCOS	10	training	glmnet
5.314130613	ALRo	PCOS	10	training	glmnet
5.340304345	ALRo	PCOS	10	training	glmnet
5.331762298	ALRo	PCOS	10	training	glmnet
5.325586285	ALRo	PCOS	10	training	glmnet
5.325808889	ALRr	PCOS	10	training	glmnet
5.348759558	ALRr	PCOS	10	training	glmnet
5.335038951	ALRr	PCOS	10	training	glmnet
5.340800643	ALRr	PCOS	10	training	glmnet
5.337589066	ALRr	PCOS	10	training	glmnet
5.314750681	ALRr	PCOS	10	training	glmnet
5.27999742	ALRr	PCOS	10	training	glmnet
5.283095952	ALRr	PCOS	10	training	glmnet
5.352996106	ALRr	PCOS	10	training	glmnet
5.371613531	ALRr	PCOS	10	training	glmnet
5.23503486	ALRw	PCOS	10	training	glmnet
5.263584292	ALRw	PCOS	10	training	glmnet
5.242718651	ALRw	PCOS	10	training	glmnet
5.287470243	ALRw	PCOS	10	training	glmnet
5.264566834	ALRw	PCOS	10	training	glmnet
5.251000115	ALRw	PCOS	10	training	glmnet
5.245090463	ALRw	PCOS	10	training	glmnet
5.283214475	ALRw	PCOS	10	training	glmnet
5.225706927	ALRw	PCOS	10	training	glmnet
5.258838753	ALRw	PCOS	10	training	glmnet
5.289483993	CLR	PCOS	10	training	glmnet
5.351498581	CLR	PCOS	10	training	glmnet
5.393388079	CLR	PCOS	10	training	glmnet
5.40372921	CLR	PCOS	10	training	glmnet
5.393153375	CLR	PCOS	10	training	glmnet
5.346885656	CLR	PCOS	10	training	glmnet
5.368193987	CLR	PCOS	10	training	glmnet
5.36362735	CLR	PCOS	10	training	glmnet
5.344740195	CLR	PCOS	10	training	glmnet
5.407389333	CLR	PCOS	10	training	glmnet
5.671338538	TSS	PCOS	10	training	glmnet
5.691233688	TSS	PCOS	10	training	glmnet
5.748607091	TSS	PCOS	10	training	glmnet
5.709253454	TSS	PCOS	10	training	glmnet
5.681750312	TSS	PCOS	10	training	glmnet
5.752257249	TSS	PCOS	10	training	glmnet
5.771451917	TSS	PCOS	10	training	glmnet
5.708398812	TSS	PCOS	10	training	glmnet
5.634512112	TSS	PCOS	10	training	glmnet
5.679656377	TSS	PCOS	10	training	glmnet
5.422555365	ALRo	PCOS	50	training	glmnet
5.393299624	ALRo	PCOS	50	training	glmnet
5.375540915	ALRo	PCOS	50	training	glmnet
5.357608985	ALRo	PCOS	50	training	glmnet
5.387917103	ALRo	PCOS	50	training	glmnet
5.386301002	ALRo	PCOS	50	training	glmnet
5.343589077	ALRo	PCOS	50	training	glmnet
5.370332607	ALRo	PCOS	50	training	glmnet
5.36746192	ALRo	PCOS	50	training	glmnet
5.366473074	ALRo	PCOS	50	training	glmnet
5.327375465	ALRr	PCOS	50	training	glmnet
5.370505055	ALRr	PCOS	50	training	glmnet
5.389420242	ALRr	PCOS	50	training	glmnet
5.350161085	ALRr	PCOS	50	training	glmnet
5.357793607	ALRr	PCOS	50	training	glmnet
5.355008079	ALRr	PCOS	50	training	glmnet
5.357044524	ALRr	PCOS	50	training	glmnet
5.357746243	ALRr	PCOS	50	training	glmnet
5.395348304	ALRr	PCOS	50	training	glmnet
5.382925819	ALRr	PCOS	50	training	glmnet
5.360760086	ALRw	PCOS	50	training	glmnet
5.338963572	ALRw	PCOS	50	training	glmnet
5.383010033	ALRw	PCOS	50	training	glmnet
5.389942913	ALRw	PCOS	50	training	glmnet
5.379721267	ALRw	PCOS	50	training	glmnet
5.371504479	ALRw	PCOS	50	training	glmnet
5.379377967	ALRw	PCOS	50	training	glmnet
5.36246736	ALRw	PCOS	50	training	glmnet
5.368980327	ALRw	PCOS	50	training	glmnet
5.36705921	ALRw	PCOS	50	training	glmnet
5.428985148	CLR	PCOS	50	training	glmnet
5.402032732	CLR	PCOS	50	training	glmnet
5.395354353	CLR	PCOS	50	training	glmnet
5.375661818	CLR	PCOS	50	training	glmnet
5.387140175	CLR	PCOS	50	training	glmnet
5.371836088	CLR	PCOS	50	training	glmnet
5.40991622	CLR	PCOS	50	training	glmnet
5.385137563	CLR	PCOS	50	training	glmnet
5.41019991	CLR	PCOS	50	training	glmnet
5.393642109	CLR	PCOS	50	training	glmnet
5.461216346	TSS	PCOS	50	training	glmnet
5.490639011	TSS	PCOS	50	training	glmnet
5.455517723	TSS	PCOS	50	training	glmnet
5.45508834	TSS	PCOS	50	training	glmnet
5.467261821	TSS	PCOS	50	training	glmnet
5.471128833	TSS	PCOS	50	training	glmnet
5.476764337	TSS	PCOS	50	training	glmnet
5.445027659	TSS	PCOS	50	training	glmnet
5.469268436	TSS	PCOS	50	training	glmnet
5.444247017	TSS	PCOS	50	training	glmnet
4.762564682	ALRo	PCOS	10	test	glmnet
4.761750907	ALRo	PCOS	10	test	glmnet
4.762022706	ALRo	PCOS	10	test	glmnet
4.761582837	ALRo	PCOS	10	test	glmnet
4.761933038	ALRo	PCOS	10	test	glmnet
4.761525458	ALRo	PCOS	10	test	glmnet
4.761801172	ALRo	PCOS	10	test	glmnet
4.76077993	ALRo	PCOS	10	test	glmnet
4.762819825	ALRo	PCOS	10	test	glmnet
4.760322666	ALRo	PCOS	10	test	glmnet
4.770967967	ALRr	PCOS	10	test	glmnet
4.771150753	ALRr	PCOS	10	test	glmnet
4.769173436	ALRr	PCOS	10	test	glmnet
4.769623379	ALRr	PCOS	10	test	glmnet
4.770429722	ALRr	PCOS	10	test	glmnet
4.769116799	ALRr	PCOS	10	test	glmnet
4.769583487	ALRr	PCOS	10	test	glmnet
4.770973412	ALRr	PCOS	10	test	glmnet
4.77258778	ALRr	PCOS	10	test	glmnet
4.773708125	ALRr	PCOS	10	test	glmnet
4.782485591	ALRw	PCOS	10	test	glmnet
4.781363656	ALRw	PCOS	10	test	glmnet
4.782164526	ALRw	PCOS	10	test	glmnet
4.784312927	ALRw	PCOS	10	test	glmnet
4.781507484	ALRw	PCOS	10	test	glmnet
4.780283131	ALRw	PCOS	10	test	glmnet
4.780103162	ALRw	PCOS	10	test	glmnet
4.782277944	ALRw	PCOS	10	test	glmnet
4.781438885	ALRw	PCOS	10	test	glmnet
4.781173963	ALRw	PCOS	10	test	glmnet
4.745030399	CLR	PCOS	10	test	glmnet
4.74493104	CLR	PCOS	10	test	glmnet
4.744727465	CLR	PCOS	10	test	glmnet
4.744510583	CLR	PCOS	10	test	glmnet
4.744774035	CLR	PCOS	10	test	glmnet
4.745312703	CLR	PCOS	10	test	glmnet
4.744704439	CLR	PCOS	10	test	glmnet
4.744857727	CLR	PCOS	10	test	glmnet
4.744706278	CLR	PCOS	10	test	glmnet
4.744770488	CLR	PCOS	10	test	glmnet
4.882559284	TSS	PCOS	10	test	glmnet
4.882400841	TSS	PCOS	10	test	glmnet
4.882519092	TSS	PCOS	10	test	glmnet
4.882243721	TSS	PCOS	10	test	glmnet
4.882201495	TSS	PCOS	10	test	glmnet
4.882378615	TSS	PCOS	10	test	glmnet
4.882583747	TSS	PCOS	10	test	glmnet
4.882619926	TSS	PCOS	10	test	glmnet
4.882136294	TSS	PCOS	10	test	glmnet
4.882867671	TSS	PCOS	10	test	glmnet
5.095955691	ALRo	PCOS	50	test	glmnet
5.097767761	ALRo	PCOS	50	test	glmnet
5.097249936	ALRo	PCOS	50	test	glmnet
5.096505804	ALRo	PCOS	50	test	glmnet
5.096961441	ALRo	PCOS	50	test	glmnet
5.096753156	ALRo	PCOS	50	test	glmnet
5.09698054	ALRo	PCOS	50	test	glmnet
5.095776568	ALRo	PCOS	50	test	glmnet
5.097175147	ALRo	PCOS	50	test	glmnet
5.096668224	ALRo	PCOS	50	test	glmnet
5.174983713	ALRr	PCOS	50	test	glmnet
5.175751791	ALRr	PCOS	50	test	glmnet
5.177091723	ALRr	PCOS	50	test	glmnet
5.177006809	ALRr	PCOS	50	test	glmnet
5.17669249	ALRr	PCOS	50	test	glmnet
5.174927416	ALRr	PCOS	50	test	glmnet
5.178333882	ALRr	PCOS	50	test	glmnet
5.176715087	ALRr	PCOS	50	test	glmnet
5.177322618	ALRr	PCOS	50	test	glmnet
5.176349264	ALRr	PCOS	50	test	glmnet
5.108616537	ALRw	PCOS	50	test	glmnet
5.109537415	ALRw	PCOS	50	test	glmnet
5.108642136	ALRw	PCOS	50	test	glmnet
5.110555523	ALRw	PCOS	50	test	glmnet
5.1080612	ALRw	PCOS	50	test	glmnet
5.10963632	ALRw	PCOS	50	test	glmnet
5.107514874	ALRw	PCOS	50	test	glmnet
5.1087224	ALRw	PCOS	50	test	glmnet
5.108042093	ALRw	PCOS	50	test	glmnet
5.109933598	ALRw	PCOS	50	test	glmnet
5.11877848	CLR	PCOS	50	test	glmnet
5.118807209	CLR	PCOS	50	test	glmnet
5.118763169	CLR	PCOS	50	test	glmnet
5.118810043	CLR	PCOS	50	test	glmnet
5.118555288	CLR	PCOS	50	test	glmnet
5.118742615	CLR	PCOS	50	test	glmnet
5.118729319	CLR	PCOS	50	test	glmnet
5.118610586	CLR	PCOS	50	test	glmnet
5.118716176	CLR	PCOS	50	test	glmnet
5.11892193	CLR	PCOS	50	test	glmnet
5.297438652	TSS	PCOS	50	test	glmnet
5.297347415	TSS	PCOS	50	test	glmnet
5.297487222	TSS	PCOS	50	test	glmnet
5.297390751	TSS	PCOS	50	test	glmnet
5.297463779	TSS	PCOS	50	test	glmnet
5.297395503	TSS	PCOS	50	test	glmnet
5.297461119	TSS	PCOS	50	test	glmnet
5.29740984	TSS	PCOS	50	test	glmnet
5.29723904	TSS	PCOS	50	test	glmnet
5.297531023	TSS	PCOS	50	test	glmnet
0.882796452	model_bal_0	PCOS	10	training	codacore
0.882796452	model_bal_0	PCOS	10	training	codacore
0.882796452	model_bal_0	PCOS	10	training	codacore
0.882796452	model_bal_0	PCOS	10	training	codacore
0.882796452	model_bal_0	PCOS	10	training	codacore
0.882796452	model_bal_0	PCOS	10	training	codacore
0.882796452	model_bal_0	PCOS	10	training	codacore
0.882796452	model_bal_0	PCOS	10	training	codacore
0.882796452	model_bal_0	PCOS	10	training	codacore
0.882796452	model_bal_0	PCOS	10	training	codacore
0.931025373	model_bal_1	PCOS	10	training	codacore
0.919273797	model_bal_1	PCOS	10	training	codacore
0.897425197	model_bal_1	PCOS	10	training	codacore
0.897425197	model_bal_1	PCOS	10	training	codacore
0.931025373	model_bal_1	PCOS	10	training	codacore
0.897425197	model_bal_1	PCOS	10	training	codacore
0.919273797	model_bal_1	PCOS	10	training	codacore
0.897425197	model_bal_1	PCOS	10	training	codacore
0.931025373	model_bal_1	PCOS	10	training	codacore
0.919273797	model_bal_1	PCOS	10	training	codacore
0.926362462	model_bal_0	PCOS	50	training	codacore
0.926362462	model_bal_0	PCOS	50	training	codacore
0.926362462	model_bal_0	PCOS	50	training	codacore
0.926362462	model_bal_0	PCOS	50	training	codacore
0.926362462	model_bal_0	PCOS	50	training	codacore
0.926362462	model_bal_0	PCOS	50	training	codacore
0.926362462	model_bal_0	PCOS	50	training	codacore
0.926362462	model_bal_0	PCOS	50	training	codacore
0.926362462	model_bal_0	PCOS	50	training	codacore
0.926362462	model_bal_0	PCOS	50	training	codacore
0.970150443	model_bal_1	PCOS	50	training	codacore
0.970150443	model_bal_1	PCOS	50	training	codacore
0.935264249	model_bal_1	PCOS	50	training	codacore
0.970150443	model_bal_1	PCOS	50	training	codacore
0.949766267	model_bal_1	PCOS	50	training	codacore
0.938139728	model_bal_1	PCOS	50	training	codacore
0.970150443	model_bal_1	PCOS	50	training	codacore
0.970150443	model_bal_1	PCOS	50	training	codacore
0.970150443	model_bal_1	PCOS	50	training	codacore
0.970150443	model_bal_1	PCOS	50	training	codacore
5.041369726	pred_bal_0_lr1	PCOS	10	test	codacore
5.041369726	pred_bal_0_lr1	PCOS	10	test	codacore
5.041369726	pred_bal_0_lr1	PCOS	10	test	codacore
5.041369726	pred_bal_0_lr1	PCOS	10	test	codacore
5.041369726	pred_bal_0_lr1	PCOS	10	test	codacore
5.041369726	pred_bal_0_lr1	PCOS	10	test	codacore
5.041369726	pred_bal_0_lr1	PCOS	10	test	codacore
5.041369726	pred_bal_0_lr1	PCOS	10	test	codacore
5.041369726	pred_bal_0_lr1	PCOS	10	test	codacore
5.041369726	pred_bal_0_lr1	PCOS	10	test	codacore
5.041369726	pred_bal_0	PCOS	10	test	codacore
5.0700915	pred_bal_0	PCOS	10	test	codacore
5.016673746	pred_bal_0	PCOS	10	test	codacore
5.052157488	pred_bal_0	PCOS	10	test	codacore
5.05470812	pred_bal_0	PCOS	10	test	codacore
