loss	model	dataset	filtering	type	set
0.556146808	ALRo	PCOS	10	training	glmnet
0.55074727	ALRo	PCOS	10	training	glmnet
0.559281278	ALRo	PCOS	10	training	glmnet
0.562790775	ALRo	PCOS	10	training	glmnet
0.555687458	ALRo	PCOS	10	training	glmnet
0.545539285	ALRo	PCOS	10	training	glmnet
0.552230044	ALRo	PCOS	10	training	glmnet
0.548601827	ALRo	PCOS	10	training	glmnet
0.556736645	ALRo	PCOS	10	training	glmnet
0.55285957	ALRo	PCOS	10	training	glmnet
0.549296805	ALRr	PCOS	10	training	glmnet
0.554382242	ALRr	PCOS	10	training	glmnet
0.545663366	ALRr	PCOS	10	training	glmnet
0.550319184	ALRr	PCOS	10	training	glmnet
0.541885305	ALRr	PCOS	10	training	glmnet
0.558934381	ALRr	PCOS	10	training	glmnet
0.54994165	ALRr	PCOS	10	training	glmnet
0.553644023	ALRr	PCOS	10	training	glmnet
0.556411751	ALRr	PCOS	10	training	glmnet
0.558131058	ALRr	PCOS	10	training	glmnet
0.545441525	ALRw	PCOS	10	training	glmnet
0.552640722	ALRw	PCOS	10	training	glmnet
0.542597134	ALRw	PCOS	10	training	glmnet
0.534475546	ALRw	PCOS	10	training	glmnet
0.544728582	ALRw	PCOS	10	training	glmnet
0.528507269	ALRw	PCOS	10	training	glmnet
0.549869235	ALRw	PCOS	10	training	glmnet
0.533447179	ALRw	PCOS	10	training	glmnet
0.543679465	ALRw	PCOS	10	training	glmnet
0.535393828	ALRw	PCOS	10	training	glmnet
0.541536667	CLR	PCOS	10	training	glmnet
0.535080632	CLR	PCOS	10	training	glmnet
0.546631295	CLR	PCOS	10	training	glmnet
0.547446037	CLR	PCOS	10	training	glmnet
0.546612703	CLR	PCOS	10	training	glmnet
0.548435133	CLR	PCOS	10	training	glmnet
0.565046026	CLR	PCOS	10	training	glmnet
0.555526891	CLR	PCOS	10	training	glmnet
0.543526418	CLR	PCOS	10	training	glmnet
0.542255389	CLR	PCOS	10	training	glmnet
0.559109083	TSS	PCOS	10	training	glmnet
0.555085993	TSS	PCOS	10	training	glmnet
0.557462748	TSS	PCOS	10	training	glmnet
0.531626351	TSS	PCOS	10	training	glmnet
0.540550844	TSS	PCOS	10	training	glmnet
0.557382047	TSS	PCOS	10	training	glmnet
0.546443293	TSS	PCOS	10	training	glmnet
0.538804451	TSS	PCOS	10	training	glmnet
0.541299368	TSS	PCOS	10	training	glmnet
0.524486687	TSS	PCOS	10	training	glmnet
0.54765054	ALRo	PCOS	50	training	glmnet
0.542065578	ALRo	PCOS	50	training	glmnet
0.537149412	ALRo	PCOS	50	training	glmnet
0.53257158	ALRo	PCOS	50	training	glmnet
0.527718708	ALRo	PCOS	50	training	glmnet
0.538146864	ALRo	PCOS	50	training	glmnet
0.535499178	ALRo	PCOS	50	training	glmnet
0.554563419	ALRo	PCOS	50	training	glmnet
0.524597259	ALRo	PCOS	50	training	glmnet
0.523306108	ALRo	PCOS	50	training	glmnet
0.53718179	ALRr	PCOS	50	training	glmnet
0.543299006	ALRr	PCOS	50	training	glmnet
0.534994081	ALRr	PCOS	50	training	glmnet
0.531214071	ALRr	PCOS	50	training	glmnet
0.529720435	ALRr	PCOS	50	training	glmnet
0.533039633	ALRr	PCOS	50	training	glmnet
0.523801596	ALRr	PCOS	50	training	glmnet
0.526584573	ALRr	PCOS	50	training	glmnet
0.534884066	ALRr	PCOS	50	training	glmnet
0.541637631	ALRr	PCOS	50	training	glmnet
0.534991296	ALRw	PCOS	50	training	glmnet
0.533818516	ALRw	PCOS	50	training	glmnet
0.542660846	ALRw	PCOS	50	training	glmnet
0.538660873	ALRw	PCOS	50	training	glmnet
0.539653451	ALRw	PCOS	50	training	glmnet
0.5441322	ALRw	PCOS	50	training	glmnet
0.532065926	ALRw	PCOS	50	training	glmnet
0.547168352	ALRw	PCOS	50	training	glmnet
0.548415288	ALRw	PCOS	50	training	glmnet
0.553204935	ALRw	PCOS	50	training	glmnet
0.528376086	CLR	PCOS	50	training	glmnet
0.544848276	CLR	PCOS	50	training	glmnet
0.533673894	CLR	PCOS	50	training	glmnet
0.535333598	CLR	PCOS	50	training	glmnet
0.52051213	CLR	PCOS	50	training	glmnet
0.539550955	CLR	PCOS	50	training	glmnet
0.533121727	CLR	PCOS	50	training	glmnet
