loss	model	dataset	filtering	type	set
0.802622498	model_bal_0	PCOS	10	training	split-imputation
0.802622498	model_bal_0	PCOS	10	training	split-imputation
0.802622498	model_bal_0	PCOS	10	training	split-imputation
0.802622498	model_bal_0	PCOS	10	training	split-imputation
0.802622498	model_bal_0	PCOS	10	training	split-imputation
0.794724331	model_bal_0	PCOS	10	training	split-imputation
0.802622498	model_bal_0	PCOS	10	training	split-imputation
0.802622498	model_bal_0	PCOS	10	training	split-imputation
0.802622498	model_bal_0	PCOS	10	training	split-imputation
0.800398742	model_bal_0	PCOS	10	training	split-imputation
0.800168699	model_bal_1	PCOS	10	training	split-imputation
0.793727475	model_bal_1	PCOS	10	training	split-imputation
0.772640135	model_bal_1	PCOS	10	training	split-imputation
0.777547734	model_bal_1	PCOS	10	training	split-imputation
0.793727475	model_bal_1	PCOS	10	training	split-imputation
0.772640135	model_bal_1	PCOS	10	training	split-imputation
0.793727475	model_bal_1	PCOS	10	training	split-imputation
0.772640135	model_bal_1	PCOS	10	training	split-imputation
0.793727475	model_bal_1	PCOS	10	training	split-imputation
0.793727475	model_bal_1	PCOS	10	training	split-imputation
0.585365854	pred_bal_0_lr1	PCOS	10	test	split-imputation
0.585365854	pred_bal_0_lr1	PCOS	10	test	split-imputation
0.585365854	pred_bal_0_lr1	PCOS	10	test	split-imputation
0.585365854	pred_bal_0_lr1	PCOS	10	test	split-imputation
0.585365854	pred_bal_0_lr1	PCOS	10	test	split-imputation
0.524970964	pred_bal_0_lr1	PCOS	10	test	split-imputation
0.585365854	pred_bal_0_lr1	PCOS	10	test	split-imputation
0.585365854	pred_bal_0_lr1	PCOS	10	test	split-imputation
0.585365854	pred_bal_0_lr1	PCOS	10	test	split-imputation
0.555168409	pred_bal_0_lr1	PCOS	10	test	split-imputation
0.569105691	pred_bal_0	PCOS	10	test	split-imputation
0.528455285	pred_bal_0	PCOS	10	test	split-imputation
0.542392567	pred_bal_0	PCOS	10	test	split-imputation
0.528455285	pred_bal_0	PCOS	10	test	split-imputation
0.606271777	pred_bal_0	PCOS	10	test	split-imputation
0.483159117	pred_bal_0	PCOS	10	test	split-imputation
0.483159117	pred_bal_0	PCOS	10	test	split-imputation
0.572590012	pred_bal_0	PCOS	10	test	split-imputation
0.530778165	pred_bal_0	PCOS	10	test	split-imputation
0.545876887	pred_bal_0	PCOS	10	test	split-imputation
0.557491289	pred_bal_1_lr1	PCOS	10	test	split-imputation
0.537746806	pred_bal_1_lr1	PCOS	10	test	split-imputation
0.555168409	pred_bal_1_lr1	PCOS	10	test	split-imputation
0.550522648	pred_bal_1_lr1	PCOS	10	test	split-imputation
0.537746806	pred_bal_1_lr1	PCOS	10	test	split-imputation
0.555168409	pred_bal_1_lr1	PCOS	10	test	split-imputation
0.537746806	pred_bal_1_lr1	PCOS	10	test	split-imputation
0.555168409	pred_bal_1_lr1	PCOS	10	test	split-imputation
0.537746806	pred_bal_1_lr1	PCOS	10	test	split-imputation
0.537746806	pred_bal_1_lr1	PCOS	10	test	split-imputation
0.557491289	pred_bal_1	PCOS	10	test	split-imputation
0.495934959	pred_bal_1	PCOS	10	test	split-imputation
0.555168409	pred_bal_1	PCOS	10	test	split-imputation
0.591173055	pred_bal_1	PCOS	10	test	split-imputation
0.537746806	pred_bal_1	PCOS	10	test	split-imputation
0.550522648	pred_bal_1	PCOS	10	test	split-imputation
0.537746806	pred_bal_1	PCOS	10	test	split-imputation
0.555168409	pred_bal_1	PCOS	10	test	split-imputation
0.537746806	pred_bal_1	PCOS	10	test	split-imputation
0.554006969	pred_bal_1	PCOS	10	test	split-imputation
0.790660225	model_bal_0	PCOS	10	training	imputation
0.790660225	model_bal_0	PCOS	10	training	imputation
0.790660225	model_bal_0	PCOS	10	training	imputation
0.790660225	model_bal_0	PCOS	10	training	imputation
0.790660225	model_bal_0	PCOS	10	training	imputation
0.790660225	model_bal_0	PCOS	10	training	imputation
0.788819876	model_bal_0	PCOS	10	training	imputation
