loss	type	model	filtering	set
0.802622498	training	model_bal_0	10	codacore
0.802622498	training	model_bal_0	10	codacore
0.802622498	training	model_bal_0	10	codacore
0.802622498	training	model_bal_0	10	codacore
0.802622498	training	model_bal_0	10	codacore
0.794724331	training	model_bal_0	10	codacore
0.802622498	training	model_bal_0	10	codacore
0.802622498	training	model_bal_0	10	codacore
0.802622498	training	model_bal_0	10	codacore
0.800398742	training	model_bal_0	10	codacore
0.800168699	training	model_bal_1	10	codacore
0.793727475	training	model_bal_1	10	codacore
0.772640135	training	model_bal_1	10	codacore
0.777547734	training	model_bal_1	10	codacore
0.793727475	training	model_bal_1	10	codacore
0.772640135	training	model_bal_1	10	codacore
0.793727475	training	model_bal_1	10	codacore
0.772640135	training	model_bal_1	10	codacore
0.793727475	training	model_bal_1	10	codacore
0.793727475	training	model_bal_1	10	codacore
0.585365854	test	pred_bal_0_lr1	10	codacore
0.585365854	test	pred_bal_0_lr1	10	codacore
0.585365854	test	pred_bal_0_lr1	10	codacore
0.585365854	test	pred_bal_0_lr1	10	codacore
0.585365854	test	pred_bal_0_lr1	10	codacore
0.524970964	test	pred_bal_0_lr1	10	codacore
0.585365854	test	pred_bal_0_lr1	10	codacore
0.585365854	test	pred_bal_0_lr1	10	codacore
0.585365854	test	pred_bal_0_lr1	10	codacore
0.555168409	test	pred_bal_0_lr1	10	codacore
0.569105691	test	pred_bal_0	10	codacore
0.528455285	test	pred_bal_0	10	codacore
0.542392567	test	pred_bal_0	10	codacore
0.528455285	test	pred_bal_0	10	codacore
0.606271777	test	pred_bal_0	10	codacore
0.483159117	test	pred_bal_0	10	codacore
0.483159117	test	pred_bal_0	10	codacore
0.572590012	test	pred_bal_0	10	codacore
0.530778165	test	pred_bal_0	10	codacore
0.545876887	test	pred_bal_0	10	codacore
0.557491289	test	pred_bal_1_lr1	10	codacore
0.537746806	test	pred_bal_1_lr1	10	codacore
0.555168409	test	pred_bal_1_lr1	10	codacore
0.550522648	test	pred_bal_1_lr1	10	codacore
0.537746806	test	pred_bal_1_lr1	10	codacore
0.555168409	test	pred_bal_1_lr1	10	codacore
0.537746806	test	pred_bal_1_lr1	10	codacore
0.555168409	test	pred_bal_1_lr1	10	codacore
0.537746806	test	pred_bal_1_lr1	10	codacore
