"loss" "dataset" "filtering" "transformation" "type"
5.28906249819422 "PCOS" "10" "ALRo" "training"
5.38575454673523 "PCOS" "10" "ALRo" "training"
5.35086436314174 "PCOS" "10" "ALRo" "training"
5.31542183491028 "PCOS" "10" "ALRo" "training"
5.28705944281719 "PCOS" "10" "ALRo" "training"
5.39324861162896 "PCOS" "10" "ALRo" "training"
5.31413061348842 "PCOS" "10" "ALRo" "training"
5.34030434534643 "PCOS" "10" "ALRo" "training"
5.33176229840598 "PCOS" "10" "ALRo" "training"
5.32558628488944 "PCOS" "10" "ALRo" "training"
5.32580888874835 "PCOS" "10" "ALRr" "training"
5.3487595579028 "PCOS" "10" "ALRr" "training"
5.33503895143716 "PCOS" "10" "ALRr" "training"
5.34080064327357 "PCOS" "10" "ALRr" "training"
5.33758906631189 "PCOS" "10" "ALRr" "training"
5.31475068072452 "PCOS" "10" "ALRr" "training"
5.2799974201402 "PCOS" "10" "ALRr" "training"
5.28309595206579 "PCOS" "10" "ALRr" "training"
5.35299610552702 "PCOS" "10" "ALRr" "training"
5.37161353093334 "PCOS" "10" "ALRr" "training"
5.23503486016069 "PCOS" "10" "ALRw" "training"
5.2635842917196 "PCOS" "10" "ALRw" "training"
5.24271865130066 "PCOS" "10" "ALRw" "training"
5.28747024315158 "PCOS" "10" "ALRw" "training"
5.2645668339817 "PCOS" "10" "ALRw" "training"
5.25100011520276 "PCOS" "10" "ALRw" "training"
5.24509046257091 "PCOS" "10" "ALRw" "training"
5.28321447487119 "PCOS" "10" "ALRw" "training"
5.22570692674667 "PCOS" "10" "ALRw" "training"
5.25883875305271 "PCOS" "10" "ALRw" "training"
5.28948399323266 "PCOS" "10" "CLR" "training"
5.35149858114161 "PCOS" "10" "CLR" "training"
5.39338807936048 "PCOS" "10" "CLR" "training"
5.40372920960138 "PCOS" "10" "CLR" "training"
5.39315337549726 "PCOS" "10" "CLR" "training"
5.34688565612278 "PCOS" "10" "CLR" "training"
5.36819398657856 "PCOS" "10" "CLR" "training"
5.36362734985042 "PCOS" "10" "CLR" "training"
5.34474019542464 "PCOS" "10" "CLR" "training"
5.40738933332525 "PCOS" "10" "CLR" "training"
5.67133853822811 "PCOS" "10" "TSS" "training"
5.69123368767797 "PCOS" "10" "TSS" "training"
5.74860709098335 "PCOS" "10" "TSS" "training"
5.70925345446952 "PCOS" "10" "TSS" "training"
5.68175031216666 "PCOS" "10" "TSS" "training"
5.75225724850479 "PCOS" "10" "TSS" "training"
5.7714519167512 "PCOS" "10" "TSS" "training"
5.7083988124961 "PCOS" "10" "TSS" "training"
5.63451211178444 "PCOS" "10" "TSS" "training"
5.67965637730136 "PCOS" "10" "TSS" "training"
5.42255536546521 "PCOS" "50" "ALRo" "training"
5.39329962435536 "PCOS" "50" "ALRo" "training"
5.37554091496355 "PCOS" "50" "ALRo" "training"
5.35760898549323 "PCOS" "50" "ALRo" "training"
5.38791710346839 "PCOS" "50" "ALRo" "training"
5.38630100160717 "PCOS" "50" "ALRo" "training"
5.34358907694608 "PCOS" "50" "ALRo" "training"
5.37033260736734 "PCOS" "50" "ALRo" "training"
5.36746191971988 "PCOS" "50" "ALRo" "training"
5.36647307413067 "PCOS" "50" "ALRo" "training"
5.32737546505666 "PCOS" "50" "ALRr" "training"
5.37050505496807 "PCOS" "50" "ALRr" "training"
5.3894202423291 "PCOS" "50" "ALRr" "training"
5.35016108504331 "PCOS" "50" "ALRr" "training"
5.35779360688583 "PCOS" "50" "ALRr" "training"
5.35500807855729 "PCOS" "50" "ALRr" "training"
5.35704452427015 "PCOS" "50" "ALRr" "training"
5.35774624319099 "PCOS" "50" "ALRr" "training"
5.39534830443479 "PCOS" "50" "ALRr" "training"
5.3829258186498 "PCOS" "50" "ALRr" "training"
5.36076008647861 "PCOS" "50" "ALRw" "training"
5.33896357240862 "PCOS" "50" "ALRw" "training"
5.38301003299154 "PCOS" "50" "ALRw" "training"
5.3899429131653 "PCOS" "50" "ALRw" "training"
5.3797212670466 "PCOS" "50" "ALRw" "training"
5.37150447919188 "PCOS" "50" "ALRw" "training"
5.37937796684579 "PCOS" "50" "ALRw" "training"
5.36246735983759 "PCOS" "50" "ALRw" "training"
5.36898032668843 "PCOS" "50" "ALRw" "training"
5.36705921043971 "PCOS" "50" "ALRw" "training"
5.42898514761572 "PCOS" "50" "CLR" "training"
5.40203273226498 "PCOS" "50" "CLR" "training"
5.39535435273702 "PCOS" "50" "CLR" "training"
5.37566181808263 "PCOS" "50" "CLR" "training"
5.38714017523832 "PCOS" "50" "CLR" "training"
5.37183608833592 "PCOS" "50" "CLR" "training"
5.40991622005534 "PCOS" "50" "CLR" "training"
5.38513756276342 "PCOS" "50" "CLR" "training"
5.41019991035453 "PCOS" "50" "CLR" "training"
5.39364210898763 "PCOS" "50" "CLR" "training"
5.46121634647227 "PCOS" "50" "TSS" "training"
5.49063901138441 "PCOS" "50" "TSS" "training"
5.45551772292729 "PCOS" "50" "TSS" "training"
5.45508834014914 "PCOS" "50" "TSS" "training"
5.46726182056153 "PCOS" "50" "TSS" "training"
5.47112883336746 "PCOS" "50" "TSS" "training"
5.47676433708272 "PCOS" "50" "TSS" "training"
5.44502765941303 "PCOS" "50" "TSS" "training"
5.46926843633144 "PCOS" "50" "TSS" "training"
5.44424701682985 "PCOS" "50" "TSS" "training"
4.76256468219902 "PCOS" "10" "ALRo" "test"
4.76175090693317 "PCOS" "10" "ALRo" "test"
4.76202270575333 "PCOS" "10" "ALRo" "test"
4.76158283713445 "PCOS" "10" "ALRo" "test"
4.7619330377295 "PCOS" "10" "ALRo" "test"
4.76152545844128 "PCOS" "10" "ALRo" "test"
4.76180117168108 "PCOS" "10" "ALRo" "test"
4.76077993001048 "PCOS" "10" "ALRo" "test"
4.76281982467491 "PCOS" "10" "ALRo" "test"
4.76032266592736 "PCOS" "10" "ALRo" "test"
4.77096796694436 "PCOS" "10" "ALRr" "test"
4.77115075343819 "PCOS" "10" "ALRr" "test"
4.7691734358857 "PCOS" "10" "ALRr" "test"
4.76962337856837 "PCOS" "10" "ALRr" "test"
4.77042972192436 "PCOS" "10" "ALRr" "test"
4.76911679949617 "PCOS" "10" "ALRr" "test"
4.76958348682275 "PCOS" "10" "ALRr" "test"
4.77097341164248 "PCOS" "10" "ALRr" "test"
4.77258777957452 "PCOS" "10" "ALRr" "test"
4.77370812513925 "PCOS" "10" "ALRr" "test"
4.7824855906767 "PCOS" "10" "ALRw" "test"
4.7813636560745 "PCOS" "10" "ALRw" "test"
4.78216452585293 "PCOS" "10" "ALRw" "test"
4.78431292747803 "PCOS" "10" "ALRw" "test"
4.78150748394134 "PCOS" "10" "ALRw" "test"
4.78028313074811 "PCOS" "10" "ALRw" "test"
4.78010316213062 "PCOS" "10" "ALRw" "test"
4.78227794371887 "PCOS" "10" "ALRw" "test"
4.78143888476805 "PCOS" "10" "ALRw" "test"
4.78117396325231 "PCOS" "10" "ALRw" "test"
4.74503039936815 "PCOS" "10" "CLR" "test"
4.74493104047714 "PCOS" "10" "CLR" "test"
4.74472746502755 "PCOS" "10" "CLR" "test"
4.74451058265706 "PCOS" "10" "CLR" "test"
4.74477403461045 "PCOS" "10" "CLR" "test"
4.74531270294356 "PCOS" "10" "CLR" "test"
