"loss" "dataset" "filtering" "transformation" "type"
5.24795152884354 "PCOS" "10" "ALRo" "training"
5.1804927703735 "PCOS" "10" "ALRo" "training"
5.21168699255185 "PCOS" "10" "ALRo" "training"
5.36217360146 "PCOS" "10" "ALRo" "training"
5.2545893839213 "PCOS" "10" "ALRo" "training"
5.2630011730918 "PCOS" "10" "ALRr" "training"
5.22847068073956 "PCOS" "10" "ALRr" "training"
5.28602930764992 "PCOS" "10" "ALRr" "training"
5.11418092363251 "PCOS" "10" "ALRr" "training"
5.26691253102265 "PCOS" "10" "ALRr" "training"
5.35674590506011 "PCOS" "10" "ALRw" "training"
5.33466442386258 "PCOS" "10" "ALRw" "training"
5.28747532346902 "PCOS" "10" "ALRw" "training"
5.40593353731331 "PCOS" "10" "ALRw" "training"
5.3220455938353 "PCOS" "10" "ALRw" "training"
5.16947015705765 "PCOS" "10" "CLR" "training"
5.14894043337187 "PCOS" "10" "CLR" "training"
5.28059247735656 "PCOS" "10" "CLR" "training"
5.14483695051693 "PCOS" "10" "CLR" "training"
5.13191785011128 "PCOS" "10" "CLR" "training"
5.31312415320703 "PCOS" "10" "TSS" "training"
5.34966555497024 "PCOS" "10" "TSS" "training"
5.27614908681381 "PCOS" "10" "TSS" "training"
5.32144947462537 "PCOS" "10" "TSS" "training"
5.29153652161117 "PCOS" "10" "TSS" "training"
5.42311914324738 "PCOS" "50" "ALRo" "training"
5.48243819951281 "PCOS" "50" "ALRo" "training"
5.46982156362678 "PCOS" "50" "ALRo" "training"
5.40978399022707 "PCOS" "50" "ALRo" "training"
5.45018339257238 "PCOS" "50" "ALRo" "training"
5.45790070114595 "PCOS" "50" "ALRr" "training"
5.46850746738053 "PCOS" "50" "ALRr" "training"
5.39968610993005 "PCOS" "50" "ALRr" "training"
5.39519027433729 "PCOS" "50" "ALRr" "training"
5.40956816464205 "PCOS" "50" "ALRr" "training"
5.44657266401109 "PCOS" "50" "ALRw" "training"
5.44772759280265 "PCOS" "50" "ALRw" "training"
5.46971257969957 "PCOS" "50" "ALRw" "training"
5.42058128947695 "PCOS" "50" "ALRw" "training"
5.50499867787958 "PCOS" "50" "ALRw" "training"
5.37300702550961 "PCOS" "50" "CLR" "training"
5.43640008942612 "PCOS" "50" "CLR" "training"
5.37302683172532 "PCOS" "50" "CLR" "training"
5.42095225429186 "PCOS" "50" "CLR" "training"
5.39984653258689 "PCOS" "50" "CLR" "training"
5.42958693642134 "PCOS" "50" "TSS" "training"
5.46130186868375 "PCOS" "50" "TSS" "training"
5.44012846982221 "PCOS" "50" "TSS" "training"
5.44082875628396 "PCOS" "50" "TSS" "training"
5.45232888836339 "PCOS" "50" "TSS" "training"
4.8339357652289 "PCOS" "10" "ALRo" "test"
4.8339357652289 "PCOS" "10" "ALRo" "test"
4.8339357652289 "PCOS" "10" "ALRo" "test"
4.8339357652289 "PCOS" "10" "ALRo" "test"
4.8339357652289 "PCOS" "10" "ALRo" "test"
4.90098327452879 "PCOS" "10" "ALRr" "test"
4.78298343397514 "PCOS" "10" "ALRr" "test"
4.78298343397514 "PCOS" "10" "ALRr" "test"
4.78298343397514 "PCOS" "10" "ALRr" "test"
4.78298343397514 "PCOS" "10" "ALRr" "test"
4.94747735630106 "PCOS" "10" "ALRw" "test"
4.93537107601035 "PCOS" "10" "ALRw" "test"
4.947477356301 "PCOS" "10" "ALRw" "test"
4.98543316466568 "PCOS" "10" "ALRw" "test"
4.75983695641797 "PCOS" "10" "ALRw" "test"
4.75159618205632 "PCOS" "10" "CLR" "test"
4.75159618205632 "PCOS" "10" "CLR" "test"
4.75159618205632 "PCOS" "10" "CLR" "test"
4.75159618205632 "PCOS" "10" "CLR" "test"
4.75159618205632 "PCOS" "10" "CLR" "test"
4.89224370681391 "PCOS" "10" "TSS" "test"
4.85124621406363 "PCOS" "10" "TSS" "test"
4.89224370681391 "PCOS" "10" "TSS" "test"
4.89224370681391 "PCOS" "10" "TSS" "test"
4.89224370681391 "PCOS" "10" "TSS" "test"
5.38504312408118 "PCOS" "50" "ALRo" "test"
5.20884029988765 "PCOS" "50" "ALRo" "test"
5.38504312408114 "PCOS" "50" "ALRo" "test"
5.38504312408114 "PCOS" "50" "ALRo" "test"
5.38504312408114 "PCOS" "50" "ALRo" "test"
5.20753999892377 "PCOS" "50" "ALRr" "test"
5.33545235723518 "PCOS" "50" "ALRr" "test"
5.33545235723518 "PCOS" "50" "ALRr" "test"
5.33545235723519 "PCOS" "50" "ALRr" "test"
5.33545235723518 "PCOS" "50" "ALRr" "test"
5.21559948707169 "PCOS" "50" "ALRw" "test"
5.21559948707169 "PCOS" "50" "ALRw" "test"
5.21559948707169 "PCOS" "50" "ALRw" "test"
5.21559948707169 "PCOS" "50" "ALRw" "test"
5.21559948707169 "PCOS" "50" "ALRw" "test"
5.36275499537968 "PCOS" "50" "CLR" "test"
5.36275499537968 "PCOS" "50" "CLR" "test"
5.36275499537968 "PCOS" "50" "CLR" "test"
5.36275499537968 "PCOS" "50" "CLR" "test"
5.35897127125929 "PCOS" "50" "CLR" "test"
5.20950469069807 "PCOS" "50" "TSS" "test"
5.20950469069807 "PCOS" "50" "TSS" "test"
5.20950469069807 "PCOS" "50" "TSS" "test"
5.20950469069807 "PCOS" "50" "TSS" "test"
5.20950469069807 "PCOS" "50" "TSS" "test"
