"loss" "model" "dataset" "filtering" "type"
0.790660225442834 "model_bal_0" "PCOS" "10" "training"
0.790660225442834 "model_bal_0" "PCOS" "10" "training"
0.790660225442834 "model_bal_0" "PCOS" "10" "training"
0.790660225442834 "model_bal_0" "PCOS" "10" "training"
0.790660225442834 "model_bal_0" "PCOS" "10" "training"
0.782992101832682 "model_bal_1" "PCOS" "10" "training"
0.772180047542366 "model_bal_1" "PCOS" "10" "training"
0.760677862127138 "model_bal_1" "PCOS" "10" "training"
0.760677862127138 "model_bal_1" "PCOS" "10" "training"
0.772180047542366 "model_bal_1" "PCOS" "10" "training"
0.731999079825167 "model_bal_0" "PCOS" "50" "training"
0.731999079825167 "model_bal_0" "PCOS" "50" "training"
0.731999079825167 "model_bal_0" "PCOS" "50" "training"
0.731999079825167 "model_bal_0" "PCOS" "50" "training"
0.731999079825167 "model_bal_0" "PCOS" "50" "training"
0.682693045011886 "model_bal_1" "PCOS" "50" "training"
0.700329729315237 "model_bal_1" "PCOS" "50" "training"
0.71658615136876 "model_bal_1" "PCOS" "50" "training"
0.709684840119623 "model_bal_1" "PCOS" "50" "training"
0.700329729315237 "model_bal_1" "PCOS" "50" "training"
0.59581881533101 "pred_bal_0_lr1" "PCOS" "10" "test"
0.59581881533101 "pred_bal_0_lr1" "PCOS" "10" "test"
0.59581881533101 "pred_bal_0_lr1" "PCOS" "10" "test"
0.59581881533101 "pred_bal_0_lr1" "PCOS" "10" "test"
0.59581881533101 "pred_bal_0_lr1" "PCOS" "10" "test"
0.520325203252032 "pred_bal_0" "PCOS" "10" "test"
0.537746806039489 "pred_bal_0" "PCOS" "10" "test"
0.527293844367015 "pred_bal_0" "PCOS" "10" "test"
0.587688734030197 "pred_bal_0" "PCOS" "10" "test"
0.635307781649245 "pred_bal_0" "PCOS" "10" "test"
0.555168408826945 "pred_bal_1_lr1" "PCOS" "10" "test"
0.547038327526132 "pred_bal_1_lr1" "PCOS" "10" "test"
0.56678281068525 "pred_bal_1_lr1" "PCOS" "10" "test"
0.56678281068525 "pred_bal_1_lr1" "PCOS" "10" "test"
0.547038327526132 "pred_bal_1_lr1" "PCOS" "10" "test"
0.555168408826945 "pred_bal_1" "PCOS" "10" "test"
0.547038327526132 "pred_bal_1" "PCOS" "10" "test"
0.56678281068525 "pred_bal_1" "PCOS" "10" "test"
0.533101045296167 "pred_bal_1" "PCOS" "10" "test"
0.547038327526132 "pred_bal_1" "PCOS" "10" "test"
0.506387921022067 "pred_bal_0_lr1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0_lr1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0_lr1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0_lr1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0_lr1" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0" "PCOS" "50" "test"
0.511033681765389 "pred_bal_0" "PCOS" "50" "test"
0.494773519163763 "pred_bal_0" "PCOS" "50" "test"
0.518002322880372 "pred_bal_0" "PCOS" "50" "test"
0.506387921022067 "pred_bal_0" "PCOS" "50" "test"
0.524970963995354 "pred_bal_1_lr1" "PCOS" "50" "test"
0.547038327526132 "pred_bal_1_lr1" "PCOS" "50" "test"
0.494773519163763 "pred_bal_1_lr1" "PCOS" "50" "test"
0.505226480836237 "pred_bal_1_lr1" "PCOS" "50" "test"
0.547038327526132 "pred_bal_1_lr1" "PCOS" "50" "test"
0.524970963995354 "pred_bal_1" "PCOS" "50" "test"
0.547038327526132 "pred_bal_1" "PCOS" "50" "test"
0.494773519163763 "pred_bal_1" "PCOS" "50" "test"
0.495934959349593 "pred_bal_1" "PCOS" "50" "test"
0.547038327526132 "pred_bal_1" "PCOS" "50" "test"
